rep_id	cluster_id	status	pdb_ids	member_accs	rcsb_entities	source	result_count	truncated
UniRef90_UPI0030D1AED8	UniRef90_UPI0030D1AED8	not_found				none	0	False
UniRef90_A0A388LH58	UniRef90_A0A388LH58	not_found				none	0	False
UniRef90_UPI000A016E18	UniRef90_UPI000A016E18	not_found				none	0	False
UniRef90_A0A7U9HBN6	UniRef90_A0A7U9HBN6	not_found				none	0	False
UniRef90_UPI00342AD2A8	UniRef90_UPI00342AD2A8	not_found				none	0	False
UniRef90_UPI0032444B70	UniRef90_UPI0032444B70	not_found				none	0	False
UniRef90_A0A8H3GN75	UniRef90_A0A8H3GN75	not_found				none	0	False
UniRef90_A0A7W7U179	UniRef90_A0A7W7U179	not_found				none	0	False
UniRef90_A0AAD9IHV9	UniRef90_A0AAD9IHV9	not_found				none	0	False
UniRef90_UPI000DE4B1A3	UniRef90_UPI000DE4B1A3	not_found				none	0	False
UniRef90_A0A3R9YGQ0	UniRef90_A0A3R9YGQ0	not_found				none	0	False
UniRef90_A0A6A6LCL5	UniRef90_A0A6A6LCL5	not_found				none	0	False
UniRef90_UPI0034488F15	UniRef90_UPI0034488F15	not_found				none	0	False
UniRef90_UPI0037BD7351	UniRef90_UPI0037BD7351	not_found				none	0	False
UniRef90_A0ABS3GR15	UniRef90_A0ABS3GR15	not_found				none	0	False
UniRef90_A0AAD5RSY5	UniRef90_A0AAD5RSY5	not_found				none	0	False
UniRef90_A0A163LFQ5	UniRef90_A0A163LFQ5	not_found				none	0	False
UniRef90_A0ABU2NLM9	UniRef90_A0ABU2NLM9	not_found				none	0	False
UniRef90_F0W842	UniRef90_F0W842	not_found				none	0	False
UniRef90_A0ABD1VIF5	UniRef90_A0ABD1VIF5	not_found				none	0	False
UniRef90_A0AAN6UZ16	UniRef90_A0AAN6UZ16	not_found				none	0	False
UniRef90_H6SRE3	UniRef90_H6SRE3	not_found				none	0	False
UniRef90_A0A7S4DIG3	UniRef90_A0A7S4DIG3	not_found				none	0	False
UniRef90_A0ABN2D7E4	UniRef90_A0ABN2D7E4	not_found				none	0	False
UniRef90_A0AAD5F728	UniRef90_A0AAD5F728	not_found				none	0	False
UniRef90_A0A2P6TZV2	UniRef90_A0A2P6TZV2	not_found				none	0	False
UniRef90_A0AAV5GFM2	UniRef90_A0AAV5GFM2	not_found				none	0	False
UniRef90_A0ACC0UQB3	UniRef90_A0ACC0UQB3	not_found				none	0	False
UniRef90_A0A0W0G3T9	UniRef90_A0A0W0G3T9	not_found				none	0	False
UniRef90_A0A8S2AQE6	UniRef90_A0A8S2AQE6	not_found	5LBD		5LBD_1	rcsb_seq	0	False
UniRef90_A0A2K1QM62	UniRef90_A0A2K1QM62	not_found				none	0	False
UniRef90_A0AAF0IM81	UniRef90_A0AAF0IM81	not_found				none	0	False
UniRef90_A0A1E5V2X3	UniRef90_A0A1E5V2X3	not_found				none	0	False
UniRef90_A0ABP9YN56	UniRef90_A0ABP9YN56	not_found				none	0	False
UniRef90_A0ABX7IIA3	UniRef90_A0ABX7IIA3	not_found				none	0	False
UniRef90_UPI00131D518B	UniRef90_UPI00131D518B	not_found				none	0	False
UniRef90_UPI0030D05103	UniRef90_UPI0030D05103	not_found				none	0	False
UniRef90_A0A9N8V1A6	UniRef90_A0A9N8V1A6	not_found				none	0	False
UniRef90_A0ABR1FM70	UniRef90_A0ABR1FM70	not_found				none	0	False
UniRef90_A0A0C1E1M3	UniRef90_A0A0C1E1M3	not_found				none	0	False
UniRef90_A0A8J5XIN5	UniRef90_A0A8J5XIN5	not_found				none	0	False
UniRef90_UPI001FA72741	UniRef90_UPI001FA72741	not_found				none	0	False
UniRef90_M1VCE1	UniRef90_M1VCE1	not_found				none	0	False
UniRef90_UPI002F91A014	UniRef90_UPI002F91A014	not_found				none	0	False
UniRef90_A0A7G9SA49	UniRef90_A0A7G9SA49	not_found				none	0	False
UniRef90_UPI0037A2BD75	UniRef90_UPI0037A2BD75	not_found				none	0	False
UniRef90_UPI0037BBCEE4	UniRef90_UPI0037BBCEE4	not_found				none	0	False
UniRef90_UPI00146C11C2	UniRef90_UPI00146C11C2	not_found				none	0	False
UniRef90_UPI0033CF6E5E	UniRef90_UPI0033CF6E5E	not_found				none	0	False
UniRef90_A0AAU9J3H2	UniRef90_A0AAU9J3H2	not_found				none	0	False
UniRef90_UPI0025AF353D	UniRef90_UPI0025AF353D	not_found				none	0	False
UniRef90_UPI0018904ACC	UniRef90_UPI0018904ACC	not_found				none	0	False
UniRef90_A0ABU5FDL7	UniRef90_A0ABU5FDL7	not_found				none	0	False
UniRef90_UPI0028F048F0	UniRef90_UPI0028F048F0	not_found				none	0	False
UniRef90_UPI0021083877	UniRef90_UPI0021083877	not_found				none	0	False
UniRef90_A0A1Y6L4U9	UniRef90_A0A1Y6L4U9	not_found				none	0	False
UniRef90_A0A5Q4BY79	UniRef90_A0A5Q4BY79	not_found				none	0	False
UniRef90_A0A4S4LBU1	UniRef90_A0A4S4LBU1	not_found				none	0	False
UniRef90_A0A9J6ALB3	UniRef90_A0A9J6ALB3	not_found				none	0	False
UniRef90_A0A6C0KMJ6	UniRef90_A0A6C0KMJ6	not_found				none	0	False
UniRef90_A0A6C0K4M0	UniRef90_A0A6C0K4M0	not_found				none	0	False
UniRef90_K0R439	UniRef90_K0R439	not_found				none	0	False
UniRef90_A0ACC2HWY4	UniRef90_A0ACC2HWY4	not_found				none	0	False
UniRef90_A0AAP0CI32	UniRef90_A0AAP0CI32	not_found				none	0	False
UniRef90_A0A1Q9F1Y3	UniRef90_A0A1Q9F1Y3	not_found				none	0	False
UniRef90_A0A9W6XC64	UniRef90_A0A9W6XC64	not_found				none	0	False
UniRef90_A0A167CQX1	UniRef90_A0A167CQX1	not_found				none	0	False
UniRef90_A0A1W0A357	UniRef90_A0A1W0A357	not_found				none	0	False
UniRef90_V4ZCP3	UniRef90_V4ZCP3	not_found				none	0	False
UniRef90_A0A316YWQ3	UniRef90_A0A316YWQ3	not_found				none	0	False
UniRef90_UPI001E52AAA7	UniRef90_UPI001E52AAA7	not_found				none	0	False
UniRef90_UPI00367E6ABD	UniRef90_UPI00367E6ABD	not_found				none	0	False
UniRef90_Q9X661	UniRef90_Q9X661	not_found				none	0	False
UniRef90_I7M163	UniRef90_I7M163	not_found				none	0	False
UniRef90_UPI0015E70117	UniRef90_UPI0015E70117	not_found				none	0	False
UniRef90_A0A7S0BG52	UniRef90_A0A7S0BG52	not_found				none	0	False
UniRef90_A0ABW0B6R4	UniRef90_A0ABW0B6R4	not_found				none	0	False
