seq_id	subtype_source	aligned_length	gap_fraction	ambiguity_fraction	gap_or_ambiguity_fraction	core_length_before_alignment	is_target_or_representative	is_flagged_rescue	is_rescued479	recommended_curation_call	reason	notes
UniRef90_A0A2S6GKF5	Ib_len255	521	0.6180	0.0000	0.6180	274	false	false	false	manual_review_before_tree	upper-tail high-gap Ib_len255 sequence near the observed masked-alignment maximum	below 0.70 and advisory review only
UniRef90_UPI00196046DF	Ib_len255	521	0.6123	0.0000	0.6123	274	false	false	true	manual_review_before_tree	exact rescued 255-279 aa set member has gap/ambiguity above 0.50	review before tree but do not remove without approval
UniRef90_UPI001FE533E7	Ib_len255	521	0.6084	0.0000	0.6084	276	false	false	false	manual_review_before_tree	upper-tail high-gap Ib_len255 sequence near the observed masked-alignment maximum	below 0.70 and advisory review only
UniRef90_UPI00080C3DB4	Ib_len255	521	0.6065	0.0000	0.6065	258	false	false	true	manual_review_before_tree	exact rescued 255-279 aa set member has gap/ambiguity above 0.50	review before tree but do not remove without approval
UniRef90_A0A090IXF0	Ib_len255	521	0.6046	0.0000	0.6046	309	false	false	false	manual_review_before_tree	upper-tail high-gap Ib_len255 sequence near the observed masked-alignment maximum	below 0.70 and advisory review only
UniRef90_UPI0036612F34	Ib_len255	521	0.6008	0.0000	0.6008	293	false	false	false	manual_review_before_tree	upper-tail high-gap Ib_len255 sequence near the observed masked-alignment maximum	below 0.70 and advisory review only
UniRef90_UPI001ED9971A	Ib_len255	521	0.6008	0.0000	0.6008	277	false	false	false	manual_review_before_tree	upper-tail high-gap Ib_len255 sequence near the observed masked-alignment maximum	below 0.70 and advisory review only
UniRef90_A0ABP7I939	Ib_len255	521	0.6008	0.0000	0.6008	277	false	false	false	manual_review_before_tree	upper-tail high-gap Ib_len255 sequence near the observed masked-alignment maximum	below 0.70 and advisory review only
UniRef90_A0A942TDW4	Ib_len255	521	0.6008	0.0000	0.6008	306	false	false	false	manual_review_before_tree	upper-tail high-gap Ib_len255 sequence near the observed masked-alignment maximum	below 0.70 and advisory review only
UniRef90_A0A7Y9UVM7	Ib_len255	521	0.6008	0.0000	0.6008	279	false	false	false	manual_review_before_tree	upper-tail high-gap Ib_len255 sequence near the observed masked-alignment maximum	below 0.70 and advisory review only
UniRef90_A0A6L7F162	Ib_len255	521	0.6008	0.0000	0.6008	316	false	false	false	manual_review_before_tree	upper-tail high-gap Ib_len255 sequence near the observed masked-alignment maximum	below 0.70 and advisory review only
UniRef90_UPI002DFDDECF	Ib_len255	521	0.5988	0.0000	0.5988	272	false	false	false	manual_review_before_tree	upper-tail high-gap Ib_len255 sequence near the observed masked-alignment maximum	below 0.70 and advisory review only
UniRef90_UPI001C302B97	Ib_len255	521	0.5988	0.0000	0.5988	299	false	false	false	manual_review_before_tree	upper-tail high-gap Ib_len255 sequence near the observed masked-alignment maximum	below 0.70 and advisory review only
UniRef90_UPI0010A800ED	Ib_len255	521	0.5988	0.0000	0.5988	304	false	false	false	manual_review_before_tree	upper-tail high-gap Ib_len255 sequence near the observed masked-alignment maximum	below 0.70 and advisory review only
UniRef90_UPI00135B78FD	Ib_len255	521	0.5969	0.0000	0.5969	306	false	false	false	manual_review_before_tree	upper-tail high-gap Ib_len255 sequence near the observed masked-alignment maximum	below 0.70 and advisory review only
UniRef90_A0A6L9SBB8	Ib_len255	521	0.5969	0.0000	0.5969	283	false	false	false	manual_review_before_tree	upper-tail high-gap Ib_len255 sequence near the observed masked-alignment maximum	below 0.70 and advisory review only
UniRef90_A0A1M5L5E9	Ib_len255	521	0.5969	0.0000	0.5969	285	false	false	false	manual_review_before_tree	upper-tail high-gap Ib_len255 sequence near the observed masked-alignment maximum	below 0.70 and advisory review only
UniRef90_UPI003630F461	Ib_len255	521	0.5950	0.0000	0.5950	286	false	false	false	manual_review_before_tree	upper-tail high-gap Ib_len255 sequence near the observed masked-alignment maximum	below 0.70 and advisory review only
