seq_id	subtype_source	source_fasta	length
UniRef90_A0A1Q3DYP8	Ia	results/02_qc/nr80_Ia.fasta	407
UniRef90_W2PKA3	Ia	results/02_qc/nr80_Ia.fasta	441
UniRef90_A0A0L0V4T6	Ia	results/02_qc/nr80_Ia.fasta	442
UniRef90_A0A2X0LSJ7	Ia	results/02_qc/nr80_Ia.fasta	422
UniRef90_A0A5K8AE01	Ia	results/02_qc/nr80_Ia.fasta	450
UniRef90_A0A2N5VDK2	Ia	results/02_qc/nr80_Ia.fasta	382
UniRef90_UPI0034CE9D64	Ia	results/02_qc/nr80_Ia.fasta	448
UniRef90_UPI000AC882F6	Ia	results/02_qc/nr80_Ia.fasta	448
UniRef90_K3XA97	Ia	results/02_qc/nr80_Ia.fasta	447
UniRef90_A0A087AKZ7	Ia	results/02_qc/nr80_Ia.fasta	447
UniRef90_A0A4Y9YQ65	Ia	results/02_qc/nr80_Ia.fasta	446
UniRef90_A0ABP1CQN4	Ia	results/02_qc/nr80_Ia.fasta	445
UniRef90_T0S8K2	Ia	results/02_qc/nr80_Ia.fasta	445
UniRef90_A0A5N6KGA1	Ia	results/02_qc/nr80_Ia.fasta	441
UniRef90_A0A2N5SER7	Ia	results/02_qc/nr80_Ia.fasta	439
UniRef90_A0A814WGS3	Ia	results/02_qc/nr80_Ia.fasta	439
UniRef90_A0A1C7M1W5	Ia	results/02_qc/nr80_Ia.fasta	438
UniRef90_A0A6P2C9K3	Ia	results/02_qc/nr80_Ia.fasta	438
UniRef90_M5E3H3	Ia	results/02_qc/nr80_Ia.fasta	438
UniRef90_A0A0L0W5Q8	Ia	results/02_qc/nr80_Ia.fasta	437
UniRef90_A0A0L0UYB5	Ia	results/02_qc/nr80_Ia.fasta	437
UniRef90_A0ABR1F0J1	Ia	results/02_qc/nr80_Ia.fasta	436
UniRef90_A0A1J8PMW2	Ia	results/02_qc/nr80_Ia.fasta	436
UniRef90_A0A024TN41	Ia	results/02_qc/nr80_Ia.fasta	436
UniRef90_A0A7S0HQ19	Ia	results/02_qc/nr80_Ia.fasta	435
UniRef90_A0A6J4VJK5	Ia	results/02_qc/nr80_Ia.fasta	435
UniRef90_M4RTD6	Ia	results/02_qc/nr80_Ia.fasta	432
UniRef90_UPI0034CD14EE	Ia	results/02_qc/nr80_Ia.fasta	435
UniRef90_UPI002362F201	Ia	results/02_qc/nr80_Ia.fasta	435
UniRef90_UPI003343D77C	Ia	results/02_qc/nr80_Ia.fasta	435
UniRef90_K1XTP2	Ia	results/02_qc/nr80_Ia.fasta	433
UniRef90_A0A0N0RTH9	Ia	results/02_qc/nr80_Ia.fasta	433
UniRef90_A0A0G4EUU4	Ia	results/02_qc/nr80_Ia.fasta	433
UniRef90_A0A080N6C7	Ia	results/02_qc/nr80_Ia.fasta	433
UniRef90_A0A177THP5	Ia	results/02_qc/nr80_Ia.fasta	432
UniRef90_A0A507AZ94	Ia	results/02_qc/nr80_Ia.fasta	432
UniRef90_UPI001FD84FB5	Ia	results/02_qc/nr80_Ia.fasta	432
UniRef90_A0AAE0I6B8	Ia	results/02_qc/nr80_Ia.fasta	431
