seq_id	seq_len	module	from	to	module_len
UniRef90_A0A291RGX8	440	CM_domain	37	103	67
UniRef90_A0A6I4I514	376	CM_domain	1	62	62
UniRef90_UPI0036612F34	412	CM_domain	24	103	80
UniRef90_A0A1N6Y2K6	409	CM_domain	1	80	80
UniRef90_A0A916J7M8	364	CM_domain	3	82	80
UniRef90_UPI00388FB5A7	398	CM_domain	11	88	78
UniRef90_I5C3G8	396	CM_domain	1	65	65
UniRef90_A0A8J7PKQ4	396	CM_domain	23	101	79
UniRef90_A0A4Z0R622	386	CM_domain	5	82	78
UniRef90_A0A1N7L9M7	386	CM_domain	15	94	80
UniRef90_S7T8Z1	385	CM_domain	15	94	80
UniRef90_UPI00107EFAA7	384	CM_domain	15	92	78
UniRef90_A0A4R6IQQ2	383	CM_domain	1	72	72
UniRef90_UPI0025C3D083	380	CM_domain	14	91	78
UniRef90_UPI003531C76B	379	CM_domain	9	88	80
UniRef90_A0A0S2I2A0	378	CM_domain	16	95	80
UniRef90_I4D2U9	378	CM_domain	4	81	78
UniRef90_UPI0027F37982	378	CM_domain	12	89	78
UniRef90_UPI0027B8A7CB	378	CM_domain	1	80	80
UniRef90_A0A9D9J704	377	CM_domain	18	97	80
UniRef90_A0A1R3XSE3	376	CM_domain	8	87	80
UniRef90_A0A379DXQ3	376	CM_domain	18	97	80
UniRef90_A0A1X9YMW0	373	CM_domain	1	70	70
UniRef90_G7WFX6	376	CM_domain	9	86	78
UniRef90_A0A3D8LEC4	373	CM_domain	15	94	80
UniRef90_A0A1I5YVU5	375	CM_domain	19	98	80
UniRef90_UPI0010CD28DF	375	CM_domain	7	86	80
UniRef90_UPI002BB685ED	375	CM_domain	1	68	68
UniRef90_C7LKE6	362	CM_domain	1	79	79
UniRef90_A0A367GU25	374	CM_domain	18	97	80
UniRef90_UPI003963F384	374	CM_domain	18	97	80
UniRef90_UPI003CF92AF7	374	CM_domain	5	82	78
UniRef90_A0A369QL47	373	CM_domain	1	74	74
UniRef90_H6L1W9	373	CM_domain	10	89	80
UniRef90_A0A9D9ENY8	373	CM_domain	6	85	80
UniRef90_UPI000E09E176	373	CM_domain	1	71	71
UniRef90_A0AA49JGZ7	372	CM_domain	14	93	80
UniRef90_M7NGA0	372	CM_domain	18	97	80
UniRef90_UPI0018AFBB35	372	CM_domain	1	78	78
UniRef90_A1ZR43	371	CM_domain	7	86	80
UniRef90_A0A6P1NZZ4	371	CM_domain	4	83	80
UniRef90_A0ABW9RVD4	371	CM_domain	14	93	80
UniRef90_UPI001FA7CC07	371	CM_domain	1	77	77
UniRef90_UPI001A8DABA3	371	CM_domain	3	80	78
UniRef90_A0A420VSJ5	370	CM_domain	1	65	65
UniRef90_A0A2W5Z874	370	CM_domain	5	80	76
UniRef90_A0A7K1YBY4	370	CM_domain	1	66	66
UniRef90_A0A1G6SIL6	370	CM_domain	16	95	80
UniRef90_A0A2U1B3N0	366	CM_domain	6	85	80
UniRef90_A0A1R3X639	370	CM_domain	1	77	77
UniRef90_UPI00321BF7CB	370	CM_domain	1	71	71
UniRef90_UPI00178C7629	370	CM_domain	1	71	71
UniRef90_A0A1T5NZ30	367	CM_domain	2	81	80
UniRef90_A0ABU7H286	369	CM_domain	1	70	70
UniRef90_A0A1I7MZC1	369	CM_domain	3	82	80
UniRef90_A0A1T5F4Q5	369	CM_domain	1	59	59
UniRef90_A0A5C6RPP3	369	CM_domain	16	95	80
UniRef90_A0ABW5SGB0	369	CM_domain	4	83	80
UniRef90_A0A5C6VCT0	369	CM_domain	10	89	80
UniRef90_A0A1J1E2X4	369	CM_domain	3	82	80
UniRef90_A0A7D3XFL0	369	CM_domain	15	94	80
UniRef90_A0ABQ0E3I2	369	CM_domain	5	84	80
UniRef90_UPI003BF8A1E8	369	CM_domain	9	88	80
UniRef90_UPI003F74DEED	369	CM_domain	1	69	69
UniRef90_UPI003FEE505B	369	CM_domain	4	83	80
UniRef90_A0A5B9DBP6	368	CM_domain	1	80	80
UniRef90_A0AAE3QLF8	368	CM_domain	5	84	80
UniRef90_F0S805	368	CM_domain	4	83	80
UniRef90_A0ABW5NUX4	368	CM_domain	8	87	80
UniRef90_A0A937FYT0	368	CM_domain	2	81	80
UniRef90_A0A098LCK7	368	CM_domain	4	83	80
UniRef90_A0A9D9HKT5	368	CM_domain	1	74	74
UniRef90_A0A940DW48	368	CM_domain	2	81	80
UniRef90_A0ABW6BUE3	368	CM_domain	1	79	79
UniRef90_A0A6N4SNZ2	368	CM_domain	4	83	80
UniRef90_A0A381PRZ8	368	CM_domain	1	78	78
UniRef90_UPI0003754BD7	368	CM_domain	4	83	80
UniRef90_A0A6N6M220	360	CM_domain	1	62	62
UniRef90_UPI0009DE8714	368	CM_domain	22	101	80
UniRef90_UPI0026052D30	368	CM_domain	4	83	80
UniRef90_UPI00374CC652	368	CM_domain	4	83	80
UniRef90_UPI00288B3622	368	CM_domain	4	83	80
UniRef90_A0A327X5Y4	367	CM_domain	2	81	80
UniRef90_E4TLD4	367	CM_domain	1	78	78
UniRef90_A0A967ABD6	367	CM_domain	1	78	78
UniRef90_H8KRQ3	367	CM_domain	1	59	59
UniRef90_A0A1E5SKG6	367	CM_domain	7	86	80
UniRef90_A0A101HHK0	367	CM_domain	10	89	80
UniRef90_A0A923SL99	367	CM_domain	1	67	67
UniRef90_A0A6C0GS69	365	CM_domain	10	89	80
UniRef90_A0A512AUW3	367	CM_domain	6	85	80
UniRef90_A0A2N3I8S0	367	CM_domain	1	77	77
UniRef90_UPI0030A3CF5D	367	CM_domain	1	74	74
UniRef90_UPI0005576626	367	CM_domain	1	80	80
UniRef90_A0AAE3XQJ1	366	CM_domain	1	80	80
UniRef90_A0A4R3KMG4	366	CM_domain	1	62	62
UniRef90_A0ABT8KSG2	366	CM_domain	6	85	80
UniRef90_A0A1G9XNK2	366	CM_domain	14	93	80
UniRef90_A0A1W1UPS4	366	CM_domain	1	69	69
UniRef90_A0A2U1FMK5	366	CM_domain	3	82	80
UniRef90_A0A6N6RI71	366	CM_domain	4	83	80
UniRef90_A0ABZ0IJD7	366	CM_domain	5	84	80
UniRef90_A0A345H9N4	366	CM_domain	1	80	80
UniRef90_A0A937DH05	366	CM_domain	1	80	80
UniRef90_A0ABP9DMQ0	366	CM_domain	4	83	80
UniRef90_K1LCD1	366	CM_domain	2	81	80
UniRef90_A0A9X1JXM5	366	CM_domain	14	93	80
UniRef90_A0A9D9HB27	366	CM_domain	4	83	80
UniRef90_A0ABY0ILB8	366	CM_domain	13	92	80
UniRef90_A0ABQ3I970	366	CM_domain	18	97	80
UniRef90_UPI0007FB5195	366	CM_domain	8	87	80
UniRef90_UPI0025A54240	366	CM_domain	6	85	80
UniRef90_UPI0022268254	366	CM_domain	8	87	80
UniRef90_UPI001ABCC5A3	366	CM_domain	2	81	80
UniRef90_A0ABY6HW49	365	CM_domain	2	81	80
UniRef90_A0ABT4UK74	365	CM_domain	8	87	80
UniRef90_A0A150XCN6	365	CM_domain	19	98	80
UniRef90_A0A401XLN3	365	CM_domain	5	84	80
UniRef90_A0A6L5XBI7	365	CM_domain	15	94	80
UniRef90_A0A1I0P2E1	365	CM_domain	13	92	80
UniRef90_A0A1W1V9U9	365	CM_domain	1	80	80
UniRef90_A0A344TLR8	365	CM_domain	4	83	80
UniRef90_A0AAW6TZW7	365	CM_domain	2	81	80
UniRef90_L8JWY3	365	CM_domain	1	80	80
UniRef90_A0A9X2I6Q6	365	CM_domain	1	77	77
UniRef90_A0AAW9S9L2	365	CM_domain	4	83	80
UniRef90_A0A5C8KAS3	365	CM_domain	1	75	75
UniRef90_A0ABS5JVS6	365	CM_domain	21	100	80
UniRef90_A0A9D9EPD1	365	CM_domain	1	80	80
UniRef90_UPI0026DF9448	365	CM_domain	8	87	80
UniRef90_UPI000389FBEA	365	CM_domain	14	93	80
UniRef90_UPI0012BBA9CA	365	CM_domain	13	92	80
UniRef90_UPI00404756D9	365	CM_domain	1	79	79
UniRef90_A0A6G6BTB9	362	CM_domain	2	81	80
UniRef90_UPI0023E0FA8B	365	CM_domain	2	81	80
UniRef90_UPI0040482358	365	CM_domain	4	83	80
UniRef90_A0A6B2H726	363	CM_domain	1	78	78
UniRef90_UPI0018A86FC4	365	CM_domain	1	80	80
UniRef90_UPI001E3DF7B6	365	CM_domain	2	81	80
UniRef90_UPI003B8DCEAE	365	CM_domain	3	82	80
UniRef90_UPI0030D73B75	365	CM_domain	8	87	80
UniRef90_F9Z4L2	364	CM_domain	22	101	80
UniRef90_A0A4Q1BXQ5	364	CM_domain	4	83	80
UniRef90_A0A3S9P2R8	364	CM_domain	1	80	80
UniRef90_E4RQ42	364	CM_domain	6	85	80
UniRef90_A0A315ZEL2	364	CM_domain	7	86	80
UniRef90_A0A2M7G0A1	364	CM_domain	1	77	77
UniRef90_A0AAU9CEL5	364	CM_domain	19	98	80
UniRef90_A0A918IZ72	364	CM_domain	1	80	80
UniRef90_A0A8T9SXY6	364	CM_domain	7	86	80
UniRef90_S2D8A0	364	CM_domain	8	87	80
UniRef90_A0A2P8D5R6	364	CM_domain	1	69	69
