relative_path	artifact_role	file_size_bytes	md5	tracked_by_git	ignored_by_git	required_for_next_stage	source_inputs	recreate_command_or_source	notes
results/03_core_len255/all_core_only_len255.fasta	strategyA_len255_core_extracted_fasta	3784033	d684e64dc3a791beedc550938b944c78	false	true	true		conda run -n dah7ps_v4 python scripts/extract_core_domains.py ...	Round 4 ignored FASTA input for Round 5 MSA.
results/03_msa_core/core_global.hmm	staged_core_global_hmm	243284	6b52655972cb0d9d5cdf00cf90d24aae	false	true	true	/home/luogu/dah7ps_evo/results/03_msa_core/core_global.hmm	cp /home/luogu/dah7ps_evo/results/03_msa_core/core_global.hmm results/03_msa_core/core_global.hmm	Staged HMM input; no legacy MSA outputs copied.
results/04_msa_len255/core_len255.sto	strategyA_len255_core_unmasked_stockholm	100535106	48b04989935efb9ca2d71061d2a3c25a	false	true	true	results/03_core_len255/all_core_only_len255.fasta;results/03_msa_core/core_global.hmm	conda run -n dah7ps_v4 hmmalign --amino --outformat Stockholm -o results/04_msa_len255/core_len255.sto results/03_msa_core/core_global.hmm results/03_core_len255/all_core_only_len255.fasta	Unmasked hmmalign Stockholm output.
results/04_msa_len255/core_len255.masked.sto	strategyA_len255_core_rf_masked_stockholm	11942674	4d784cecebc048ba7d4b8fbfdc9a9689	false	true	true	results/04_msa_len255/core_len255.sto	conda run -n dah7ps_v4 esl-alimask --rf-is-mask -o results/04_msa_len255/core_len255.masked.sto results/04_msa_len255/core_len255.sto	RF-masked Stockholm output from esl-alimask.
results/04_msa_len255/core_len255.masked.afa	strategyA_len255_core_rf_masked_afa	5337272	cc40f828bb92e700c4ed0358c909f6ab	false	true	true	results/04_msa_len255/core_len255.masked.sto	conda run -n dah7ps_v4 esl-reformat -o results/04_msa_len255/core_len255.masked.afa afa results/04_msa_len255/core_len255.masked.sto	Round 6 tree-inference candidate alignment.
results/04_msa_len255/core_len255.alignment_qc.tsv	strategyA_len255_alignment_per_sequence_qc	655185	609db78e11120129f7f7d7a8b1d9ff78	true	false	true	results/03_core_len255/all_core_only_len255.fasta;results/03_msa_core/core_global.hmm;results/04_msa_len255/core_len255.masked.afa	python scripts/round5_msa_len255_handoff.py	Per-sequence gap and ambiguity QC.
results/04_msa_len255/core_len255_alignment_summary.tsv	strategyA_len255_alignment_summary	1026	ae9433f47e9f2330f68916f310bfc419	true	false	true	results/03_core_len255/all_core_only_len255.fasta;results/03_msa_core/core_global.hmm;results/04_msa_len255/core_len255.masked.afa	python scripts/round5_msa_len255_handoff.py	Normalized alignment summary.
results/04_msa_len255/core_len255_subtype_alignment_qc.tsv	strategyA_len255_subtype_alignment_qc	444	513ff966d92ec40fab3ea1735fa51176	true	false	true	results/02_qc_len255/nr80_all_len255_subtype_map.tsv;results/04_msa_len255/core_len255.masked.afa	python scripts/round5_msa_len255_handoff.py	Subtype gap and ambiguity burden summary.
results/04_msa_len255/core_len255_rescued479_alignment_qc.tsv	strategyA_len255_rescued479_alignment_qc	71595	983c0a8a217ea71e031efca92c25be97	true	false	true	results/02_qc/qc_classification_Ib.tsv;results/02_qc_len255/qc_classification_Ib.tsv;results/04_msa_len255/core_len255.masked.afa	python scripts/round5_msa_len255_handoff.py	QC for reconstructed 479 len255 Ib rescued sequences.
results/04_msa_len255/core_len255_target_carrythrough.tsv	strategyA_len255_target_alignment_carrythrough	7408	6455cf1e8b19c6776a1b14e538ba833f	true	false	true	results/03_core_len255/core_len255_target_carrythrough.tsv;results/04_msa_len255/core_len255.alignment_qc.tsv	python scripts/round5_msa_len255_handoff.py	Target carry-through after MSA.
results/04_msa_len255/core_len255_flagged_carrythrough.tsv	strategyA_len255_flagged_alignment_carrythrough	2725	24f325f3b1215dc8db2c18cb563abf5d	true	false	true	results/03_core_len255/core_len255_flagged_carrythrough.tsv;results/04_msa_len255/core_len255.alignment_qc.tsv	python scripts/round5_msa_len255_handoff.py	Flagged len255 rescue carry-through after MSA.
results/04_msa_len255/core_len255_gap_or_ambiguity_gt_0_50.tsv	strategyA_len255_high_gap_or_ambiguity_table	106615	28e36d19aab3a49a62f735b3d32feeff	true	false	true	results/04_msa_len255/core_len255.alignment_qc.tsv	python scripts/round5_msa_len255_handoff.py	Sequences with gap_or_ambiguity_fraction > 0.50.
results/04_msa_len255/round5_tree_handoff.md	strategyA_round5_tree_handoff_plan	1495	bf9fb3e7ded1363583e3b4074a20d7e1	true	false	true	Round 5 alignment and QC outputs	python scripts/round5_msa_len255_handoff.py	Round 6 tree handoff; no IQ-TREE run.
