seq_id	length	cov_best	present_in_nr80	nr80_status	present_in_core	present_in_alignment	gap_fraction	ambiguity_fraction	gap_or_ambiguity_fraction	flag_class	recommended_action	notes
UniRef90_A0A098B7R7	275	0.7695	true	direct_nr80_representative	true	true	0.5221	0.0000	0.5221			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_A0A3A8NEQ7	278	0.7575	false	absorbed_by_nr80_surrogate	false	false						exact rescued set reconstructed from old/new Ib QC tables
UniRef90_A0A4R2JZH9	279	0.7455	true	direct_nr80_representative	true	true	0.5777	0.0000	0.5777			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_A0A285FXG1	270	0.7784	false	absorbed_by_nr80_surrogate	false	false						exact rescued set reconstructed from old/new Ib QC tables
UniRef90_A0A318XLN6	268	0.7844	true	direct_nr80_representative	true	true	0.5413	0.0000	0.5413			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_A0ABY8PRG3	279	0.8114	true	direct_nr80_representative	true	true	0.5144	0.0000	0.5144			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_J7IVG8	272	0.7874	true	direct_nr80_representative	true	true	0.5106	0.0000	0.5106			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_Q0AX59	275	0.7725	true	direct_nr80_representative	true	true	0.5413	0.0000	0.5413			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_A0ABT6NB23	272	0.7305	true	direct_nr80_representative	true	true	0.5240	0.0000	0.5240			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_A0A1I6CTU0	275	0.7904	true	direct_nr80_representative	true	true	0.5106	0.0000	0.5106			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_A0A494X0X8	273	0.7964	false	absorbed_by_nr80_surrogate	false	false						exact rescued set reconstructed from old/new Ib QC tables
UniRef90_A0A1G2THV3	279	0.7994	true	direct_nr80_representative	true	true	0.4952	0.0000	0.4952			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_A0A917M197	279	0.7844	true	direct_nr80_representative	true	true	0.5413	0.0000	0.5413			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_A0A069ZQA8	279	0.7305	true	direct_nr80_representative	true	true	0.5413	0.0000	0.5413			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_A0A1M5QA49	279	0.7874	true	direct_nr80_representative	true	true	0.5067	0.0000	0.5067			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_Q2LY30	279	0.7545	true	direct_nr80_representative	true	true	0.5086	0.0000	0.5086			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_A0A1H8W4Q4	279	0.7814	true	direct_nr80_representative	true	true	0.5585	0.0000	0.5585			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_A0A6N7XS28	279	0.7844	true	direct_nr80_representative	true	true	0.5240	0.0000	0.5240			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_A0A9X2N2S2	279	0.7874	true	direct_nr80_representative	true	true	0.5566	0.0000	0.5566			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_A0A3A1V3I5	279	0.7814	true	direct_nr80_representative	true	true	0.5624	0.0000	0.5624			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_A0A0W8E7R7	279	0.7814	true	direct_nr80_representative	true	true	0.4971	0.0000	0.4971			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_UPI0030F5729D	279	0.7754	false	absorbed_by_nr80_surrogate	false	false						exact rescued set reconstructed from old/new Ib QC tables
UniRef90_UPI0039A75368	279	0.7605	true	direct_nr80_representative	false	false						exact rescued set reconstructed from old/new Ib QC tables
UniRef90_UPI003592F40E	279	0.7814	true	direct_nr80_representative	true	true	0.5010	0.0000	0.5010			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_UPI001F13C4EE	279	0.7695	true	direct_nr80_representative	true	true	0.5355	0.0000	0.5355			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_UPI0027E04188	279	0.7814	false	absorbed_by_nr80_surrogate	false	false						exact rescued set reconstructed from old/new Ib QC tables
UniRef90_UPI0002A01F33	279	0.7904	false	absorbed_by_nr80_surrogate	false	false						exact rescued set reconstructed from old/new Ib QC tables
UniRef90_UPI0006BB656F	279	0.7874	false	absorbed_by_nr80_surrogate	false	false						exact rescued set reconstructed from old/new Ib QC tables
UniRef90_A0AAQ0EL83	278	0.7665	false	absorbed_by_nr80_surrogate	false	false						exact rescued set reconstructed from old/new Ib QC tables
UniRef90_A0A1G9ESV4	278	0.7126	true	direct_nr80_representative	true	true	0.5144	0.0000	0.5144			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_O84386	278	0.7216	false	absorbed_by_nr80_surrogate	false	false						exact rescued set reconstructed from old/new Ib QC tables
UniRef90_A0A8J7L0I8	278	0.7695	true	direct_nr80_representative	true	true	0.5106	0.0000	0.5106			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_A0A7C0WW33	278	0.7874	false	absorbed_by_nr80_surrogate	false	false						exact rescued set reconstructed from old/new Ib QC tables
UniRef90_A0A3Q9HNI8	278	0.7485	false	absorbed_by_nr80_surrogate	false	false						exact rescued set reconstructed from old/new Ib QC tables
UniRef90_UPI0025BA519E	278	0.7515	true	direct_nr80_representative	false	false						exact rescued set reconstructed from old/new Ib QC tables
UniRef90_UPI003B5BE7BC	278	0.7365	false	absorbed_by_nr80_surrogate	false	false						exact rescued set reconstructed from old/new Ib QC tables
UniRef90_UPI00286BE411	278	0.7934	false	absorbed_by_nr80_surrogate	false	false						exact rescued set reconstructed from old/new Ib QC tables
UniRef90_A0A0E3W3M4	277	0.7994	true	direct_nr80_representative	true	true	0.5413	0.0000	0.5413	other/ambiguous	needs_annotation_check	exact rescued set reconstructed from old/new Ib QC tables
UniRef90_A0A931AY84	277	0.7754	true	direct_nr80_representative	true	true	0.5221	0.0000	0.5221			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_A0ABT6DEL2	277	0.7575	false	absorbed_by_nr80_surrogate	false	false						exact rescued set reconstructed from old/new Ib QC tables
UniRef90_A0A6I6DJ79	277	0.7994	true	direct_nr80_representative	true	true	0.5393	0.0000	0.5393			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_A0ABY4C7S9	277	0.7605	false	absorbed_by_nr80_surrogate	false	false						exact rescued set reconstructed from old/new Ib QC tables
UniRef90_A0A5R9G6I7	277	0.7814	true	direct_nr80_representative	true	true	0.5336	0.0000	0.5336			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_W8JZ58	277	0.7156	true	direct_nr80_representative	false	false						exact rescued set reconstructed from old/new Ib QC tables
UniRef90_A0A1T4JPI8	277	0.7754	true	direct_nr80_representative	true	true	0.5182	0.0000	0.5182			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_A4J3M8	277	0.7784	true	direct_nr80_representative	true	true	0.5144	0.0000	0.5144			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_A0A2T2WDT5	277	0.8024	false	absorbed_by_nr80_surrogate	false	false						exact rescued set reconstructed from old/new Ib QC tables
UniRef90_UPI003211E5BB	277	0.7904	true	direct_nr80_representative	true	true	0.5470	0.0000	0.5470			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_UPI0021D35B3C	277	0.7575	false	absorbed_by_nr80_surrogate	false	false						exact rescued set reconstructed from old/new Ib QC tables
UniRef90_UPI0020CD1049	277	0.7575	false	absorbed_by_nr80_surrogate	false	false						exact rescued set reconstructed from old/new Ib QC tables
UniRef90_UPI000D5618BF	277	0.7515	false	absorbed_by_nr80_surrogate	false	false						exact rescued set reconstructed from old/new Ib QC tables
UniRef90_UPI0039BD1346	277	0.7575	false	absorbed_by_nr80_surrogate	false	false						exact rescued set reconstructed from old/new Ib QC tables
UniRef90_UPI002600500B	277	0.7934	false	absorbed_by_nr80_surrogate	false	false						exact rescued set reconstructed from old/new Ib QC tables
UniRef90_UPI0035A940DF	277	0.7605	false	absorbed_by_nr80_surrogate	false	false						exact rescued set reconstructed from old/new Ib QC tables
UniRef90_UPI000BE438D2	277	0.7754	false	absorbed_by_nr80_surrogate	false	false						exact rescued set reconstructed from old/new Ib QC tables
UniRef90_UPI00404AD48F	277	0.7754	true	direct_nr80_representative	true	true	0.5010	0.0000	0.5010			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_A0A1A9HTV4	266	0.7156	true	direct_nr80_representative	true	true	0.5681	0.0000	0.5681			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_UPI00345644EC	277	0.7036	true	direct_nr80_representative	true	true	0.5336	0.0000	0.5336	hypothetical/uncharacterized	manual_review_before_final_tree	exact rescued set reconstructed from old/new Ib QC tables
UniRef90_UPI002B206616	277	0.7844	false	absorbed_by_nr80_surrogate	false	false						exact rescued set reconstructed from old/new Ib QC tables
UniRef90_A0A160T0Q5	276	0.7365	true	direct_nr80_representative	true	true	0.5816	0.0000	0.5816			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_A0A7W9W900	276	0.7725	false	absorbed_by_nr80_surrogate	false	false						exact rescued set reconstructed from old/new Ib QC tables
UniRef90_A0A173DZF2	276	0.7096	false	absorbed_by_nr80_surrogate	false	false						exact rescued set reconstructed from old/new Ib QC tables
UniRef90_A0ABX8BBZ1	276	0.7844	true	direct_nr80_representative	true	true	0.5374	0.0000	0.5374			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_A0A1M4VYT9	276	0.7964	false	absorbed_by_nr80_surrogate	false	false						exact rescued set reconstructed from old/new Ib QC tables
UniRef90_R4KU13	276	0.7814	true	direct_nr80_representative	true	true	0.5221	0.0000	0.5221			exact rescued set reconstructed from old/new Ib QC tables
UniRef90_A0A1G5B9V5	276	0.7754	true	direct_nr80_representative	true	true	0.5029	0.0000	0.5029			exact rescued set reconstructed from old/new Ib QC tables
