relative_path	artifact_role	file_size_bytes	md5	tracked_by_git	ignored_by_git	required_for_next_stage	source_inputs	recreate_command_or_source	notes
results/05_curation_len255/round6_curation_summary.tsv	round6_output	2549	b0f618395e58a006860428af7d70338b	true	false	true	results/04_msa_len255/core_len255.masked.afa;results/04_msa_len255/core_len255.masked.sto;results/04_msa_len255/core_len255_alignment_summary.tsv;results/04_msa_len255/core_len255.alignment_qc.tsv;results/04_msa_len255/core_len255_subtype_alignment_qc.tsv;results/04_msa_len255/core_len255_rescued479_alignment_qc.tsv;results/04_msa_len255/core_len255_target_carrythrough.tsv;results/04_msa_len255/core_len255_flagged_carrythrough.tsv;results/04_msa_len255/core_len255_gap_or_ambiguity_gt_0_50.tsv;results/04_msa_len255/core_len255_artifact_manifest.tsv;results/04_msa_len255/round5_tree_handoff.md;results/02_qc_len255/target_representation.tsv;results/02_qc_len255/nr80_all_len255_subtype_map.tsv;results/03_core_len255/core_len255_target_carrythrough.tsv	python scripts/round6_pre_tree_curation_len255.py	Round 6 curation output; advisory only
results/05_curation_len255/round6_sequence_curation_calls.tsv	round6_output	2194973	dc4bbb9b4630daf6b753502795bc4095	true	false	true	results/04_msa_len255/core_len255.masked.afa;results/04_msa_len255/core_len255.masked.sto;results/04_msa_len255/core_len255_alignment_summary.tsv;results/04_msa_len255/core_len255.alignment_qc.tsv;results/04_msa_len255/core_len255_subtype_alignment_qc.tsv;results/04_msa_len255/core_len255_rescued479_alignment_qc.tsv;results/04_msa_len255/core_len255_target_carrythrough.tsv;results/04_msa_len255/core_len255_flagged_carrythrough.tsv;results/04_msa_len255/core_len255_gap_or_ambiguity_gt_0_50.tsv;results/04_msa_len255/core_len255_artifact_manifest.tsv;results/04_msa_len255/round5_tree_handoff.md;results/02_qc_len255/target_representation.tsv;results/02_qc_len255/nr80_all_len255_subtype_map.tsv;results/03_core_len255/core_len255_target_carrythrough.tsv	python scripts/round6_pre_tree_curation_len255.py	Round 6 curation output; advisory only
results/05_curation_len255/round6_high_gap_review.tsv	round6_output	444089	f2d1a33b833e32b53a74cdae004645c6	true	false	true	results/04_msa_len255/core_len255.masked.afa;results/04_msa_len255/core_len255.masked.sto;results/04_msa_len255/core_len255_alignment_summary.tsv;results/04_msa_len255/core_len255.alignment_qc.tsv;results/04_msa_len255/core_len255_subtype_alignment_qc.tsv;results/04_msa_len255/core_len255_rescued479_alignment_qc.tsv;results/04_msa_len255/core_len255_target_carrythrough.tsv;results/04_msa_len255/core_len255_flagged_carrythrough.tsv;results/04_msa_len255/core_len255_gap_or_ambiguity_gt_0_50.tsv;results/04_msa_len255/core_len255_artifact_manifest.tsv;results/04_msa_len255/round5_tree_handoff.md;results/02_qc_len255/target_representation.tsv;results/02_qc_len255/nr80_all_len255_subtype_map.tsv;results/03_core_len255/core_len255_target_carrythrough.tsv	python scripts/round6_pre_tree_curation_len255.py	Round 6 curation output; advisory only
results/05_curation_len255/round6_subtype_gap_review.tsv	round6_output	1312	b1a523f07941d4e5ef4b93f1fc20ee21	true	false	true	results/04_msa_len255/core_len255.masked.afa;results/04_msa_len255/core_len255.masked.sto;results/04_msa_len255/core_len255_alignment_summary.tsv;results/04_msa_len255/core_len255.alignment_qc.tsv;results/04_msa_len255/core_len255_subtype_alignment_qc.tsv;results/04_msa_len255/core_len255_rescued479_alignment_qc.tsv;results/04_msa_len255/core_len255_target_carrythrough.tsv;results/04_msa_len255/core_len255_flagged_carrythrough.tsv;results/04_msa_len255/core_len255_gap_or_ambiguity_gt_0_50.tsv;results/04_msa_len255/core_len255_artifact_manifest.tsv;results/04_msa_len255/round5_tree_handoff.md;results/02_qc_len255/target_representation.tsv;results/02_qc_len255/nr80_all_len255_subtype_map.tsv;results/03_core_len255/core_len255_target_carrythrough.tsv	python scripts/round6_pre_tree_curation_len255.py	Round 6 curation output; advisory only
results/05_curation_len255/round6_target_curation_review.tsv	round6_output	9207	3e9154e282c2d208d58ae209d66acad1	true	false	true	results/04_msa_len255/core_len255.masked.afa;results/04_msa_len255/core_len255.masked.sto;results/04_msa_len255/core_len255_alignment_summary.tsv;results/04_msa_len255/core_len255.alignment_qc.tsv;results/04_msa_len255/core_len255_subtype_alignment_qc.tsv;results/04_msa_len255/core_len255_rescued479_alignment_qc.tsv;results/04_msa_len255/core_len255_target_carrythrough.tsv;results/04_msa_len255/core_len255_flagged_carrythrough.tsv;results/04_msa_len255/core_len255_gap_or_ambiguity_gt_0_50.tsv;results/04_msa_len255/core_len255_artifact_manifest.tsv;results/04_msa_len255/round5_tree_handoff.md;results/02_qc_len255/target_representation.tsv;results/02_qc_len255/nr80_all_len255_subtype_map.tsv;results/03_core_len255/core_len255_target_carrythrough.tsv	python scripts/round6_pre_tree_curation_len255.py	Round 6 curation output; advisory only
results/05_curation_len255/round6_flagged_rescue_review.tsv	round6_output	3497	84ad95da9bd854db6d9507ed042044e9	true	false	true	results/04_msa_len255/core_len255.masked.afa;results/04_msa_len255/core_len255.masked.sto;results/04_msa_len255/core_len255_alignment_summary.tsv;results/04_msa_len255/core_len255.alignment_qc.tsv;results/04_msa_len255/core_len255_subtype_alignment_qc.tsv;results/04_msa_len255/core_len255_rescued479_alignment_qc.tsv;results/04_msa_len255/core_len255_target_carrythrough.tsv;results/04_msa_len255/core_len255_flagged_carrythrough.tsv;results/04_msa_len255/core_len255_gap_or_ambiguity_gt_0_50.tsv;results/04_msa_len255/core_len255_artifact_manifest.tsv;results/04_msa_len255/round5_tree_handoff.md;results/02_qc_len255/target_representation.tsv;results/02_qc_len255/nr80_all_len255_subtype_map.tsv;results/03_core_len255/core_len255_target_carrythrough.tsv	python scripts/round6_pre_tree_curation_len255.py	Round 6 curation output; advisory only
results/05_curation_len255/round6_pni_surrogate_review.tsv	round6_output	1710	97466afafab867f0e6712a7f15e53889	true	false	true	results/04_msa_len255/core_len255.masked.afa;results/04_msa_len255/core_len255.masked.sto;results/04_msa_len255/core_len255_alignment_summary.tsv;results/04_msa_len255/core_len255.alignment_qc.tsv;results/04_msa_len255/core_len255_subtype_alignment_qc.tsv;results/04_msa_len255/core_len255_rescued479_alignment_qc.tsv;results/04_msa_len255/core_len255_target_carrythrough.tsv;results/04_msa_len255/core_len255_flagged_carrythrough.tsv;results/04_msa_len255/core_len255_gap_or_ambiguity_gt_0_50.tsv;results/04_msa_len255/core_len255_artifact_manifest.tsv;results/04_msa_len255/round5_tree_handoff.md;results/02_qc_len255/target_representation.tsv;results/02_qc_len255/nr80_all_len255_subtype_map.tsv;results/03_core_len255/core_len255_target_carrythrough.tsv	python scripts/round6_pre_tree_curation_len255.py	Round 6 curation output; advisory only
results/05_curation_len255/round6_candidate_exclusion_list.tsv	round6_output	196	0db64f44e62627798b193c50b6cdf921	true	false	true	results/04_msa_len255/core_len255.masked.afa;results/04_msa_len255/core_len255.masked.sto;results/04_msa_len255/core_len255_alignment_summary.tsv;results/04_msa_len255/core_len255.alignment_qc.tsv;results/04_msa_len255/core_len255_subtype_alignment_qc.tsv;results/04_msa_len255/core_len255_rescued479_alignment_qc.tsv;results/04_msa_len255/core_len255_target_carrythrough.tsv;results/04_msa_len255/core_len255_flagged_carrythrough.tsv;results/04_msa_len255/core_len255_gap_or_ambiguity_gt_0_50.tsv;results/04_msa_len255/core_len255_artifact_manifest.tsv;results/04_msa_len255/round5_tree_handoff.md;results/02_qc_len255/target_representation.tsv;results/02_qc_len255/nr80_all_len255_subtype_map.tsv;results/03_core_len255/core_len255_target_carrythrough.tsv	python scripts/round6_pre_tree_curation_len255.py	Round 6 curation output; advisory only
results/05_curation_len255/round6_candidate_keep_review_list.tsv	round6_output	402775	a4990ae0c3e94e112a11eebe89585297	true	false	true	results/04_msa_len255/core_len255.masked.afa;results/04_msa_len255/core_len255.masked.sto;results/04_msa_len255/core_len255_alignment_summary.tsv;results/04_msa_len255/core_len255.alignment_qc.tsv;results/04_msa_len255/core_len255_subtype_alignment_qc.tsv;results/04_msa_len255/core_len255_rescued479_alignment_qc.tsv;results/04_msa_len255/core_len255_target_carrythrough.tsv;results/04_msa_len255/core_len255_flagged_carrythrough.tsv;results/04_msa_len255/core_len255_gap_or_ambiguity_gt_0_50.tsv;results/04_msa_len255/core_len255_artifact_manifest.tsv;results/04_msa_len255/round5_tree_handoff.md;results/02_qc_len255/target_representation.tsv;results/02_qc_len255/nr80_all_len255_subtype_map.tsv;results/03_core_len255/core_len255_target_carrythrough.tsv	python scripts/round6_pre_tree_curation_len255.py	Round 6 curation output; advisory only
results/05_curation_len255/round6_tree_readiness_handoff.md	round6_output	5594	c1e1b35528c3aecc18e452207898a1e8	true	false	true	results/04_msa_len255/core_len255.masked.afa;results/04_msa_len255/core_len255.masked.sto;results/04_msa_len255/core_len255_alignment_summary.tsv;results/04_msa_len255/core_len255.alignment_qc.tsv;results/04_msa_len255/core_len255_subtype_alignment_qc.tsv;results/04_msa_len255/core_len255_rescued479_alignment_qc.tsv;results/04_msa_len255/core_len255_target_carrythrough.tsv;results/04_msa_len255/core_len255_flagged_carrythrough.tsv;results/04_msa_len255/core_len255_gap_or_ambiguity_gt_0_50.tsv;results/04_msa_len255/core_len255_artifact_manifest.tsv;results/04_msa_len255/round5_tree_handoff.md;results/02_qc_len255/target_representation.tsv;results/02_qc_len255/nr80_all_len255_subtype_map.tsv;results/03_core_len255/core_len255_target_carrythrough.tsv	python scripts/round6_pre_tree_curation_len255.py	Round 6 curation output; advisory only
