seq_id	L_seq	cov_hmm	bin
UniRef90_A0A9P1FF84	2879	0.8952	PASS_LONG
UniRef90_A0AAD7ZPQ4	2695	0.1677	FRAG
UniRef90_A0A1H0VMV8	1038	0.7754	PASS_LONG
UniRef90_A0A2N3XZZ5	1038	0.7964	PASS_LONG
UniRef90_A0A3A4B0F3	1035	0.7874	PASS_LONG
UniRef90_A0AAE0VM30	837	0.7036	PASS_LONG
UniRef90_A0A0D6LE35	813	0.6497	FRAG
UniRef90_A0A4R1QS54	772	0.7455	PASS_LONG
UniRef90_UPI0003EECFED	764	0.8054	PASS_LONG
UniRef90_A0A9P1BG70	763	0.9311	PASS_LONG
UniRef90_UPI001034DD08	729	0.5479	FRAG
UniRef90_UPI0018A8D9C4	715	0.7784	PASS_LONG
UniRef90_A0ABV3MRF6	708	0.8234	PASS_LONG
UniRef90_V5WN41	702	0.9012	PASS_LONG
UniRef90_A0A5A7N5K0	700	0.7784	PASS_LONG
UniRef90_A0A545UBB3	684	0.8293	PASS_LONG
UniRef90_A0A5A7MNN1	690	0.7725	PASS_LONG
UniRef90_UPI00336C10E5	690	0.7874	PASS_LONG
UniRef90_UPI00403AB860	690	0.7844	PASS_LONG
UniRef90_UPI003D89D0B5	685	0.9551	PASS_LONG
UniRef90_A0AAE3NZQ1	684	0.8174	PASS_LONG
UniRef90_UPI00155265BA	683	0.7784	PASS_LONG
UniRef90_UPI0010453BC3	683	0.8743	PASS_LONG
UniRef90_I6ZRX2	653	0.7964	PASS_LONG
UniRef90_UPI003597CA7B	680	0.8024	PASS_LONG
UniRef90_UPI000247260C	680	0.7605	PASS_LONG
UniRef90_A0A934KJM2	679	0.7994	PASS_LONG
UniRef90_A0A518EPF4	678	0.7246	PASS_LONG
UniRef90_A0A8I1W9Y5	677	0.7305	PASS_LONG
UniRef90_A0A832G686	674	0.7904	PASS_LONG
UniRef90_A0A395M225	676	0.7006	PASS_LONG
UniRef90_A0AA48GMR5	673	0.7395	PASS_LONG
UniRef90_A0A271IZA6	674	0.7605	PASS_LONG
