seq_id	seq_len	core_start	core_end	hmm_from	hmm_to	coverage	n_hits	n_env_segments	stitched_flag	core_residues
UniRef90_A0A1Q3DYP8	407	22	395	13	508	0.9520	1	1	N	374
UniRef90_W2PKA3	441	81	441	15	511	0.9539	1	1	N	361
UniRef90_A0A0L0V4T6	442	70	429	28	509	0.9251	1	1	N	360
UniRef90_A0A2X0LSJ7	422	25	393	20	508	0.9386	1	1	N	369
UniRef90_A0A5K8AE01	450	84	443	19	506	0.9367	1	1	N	360
UniRef90_A0A2N5VDK2	382	10	380	20	510	0.9424	1	1	N	371
UniRef90_UPI0034CE9D64	448	5	399	17	508	0.9443	2	2	Y	393
UniRef90_UPI000AC882F6	448	70	432	26	509	0.9290	1	1	N	363
UniRef90_K3XA97	447	87	447	16	511	0.9520	1	1	N	361
UniRef90_A0A087AKZ7	447	85	446	23	507	0.9309	1	1	N	362
UniRef90_A0A4Y9YQ65	446	35	438	17	507	0.9424	2	2	Y	382
UniRef90_A0ABP1CQN4	445	74	436	26	509	0.9290	1	1	N	363
UniRef90_T0S8K2	445	85	445	20	508	0.9386	1	1	N	361
UniRef90_A0A5N6KGA1	441	83	441	19	508	0.9405	1	1	N	359
UniRef90_A0A2N5SER7	439	62	438	17	509	0.9463	1	1	N	377
UniRef90_A0A814WGS3	439	74	439	17	508	0.9443	1	1	N	366
UniRef90_A0A1C7M1W5	438	49	431	19	509	0.9424	1	1	N	383
UniRef90_A0A6P2C9K3	438	1	361	19	511	0.9463	1	1	N	361
UniRef90_M5E3H3	438	79	436	18	504	0.9347	1	1	N	358
UniRef90_A0A0L0W5Q8	437	38	407	19	509	0.9424	1	1	N	370
UniRef90_A0A0L0UYB5	437	62	434	21	507	0.9347	1	1	N	373
UniRef90_A0ABR1F0J1	436	4	400	16	508	0.9463	2	2	Y	385
UniRef90_A0A1J8PMW2	436	54	423	15	508	0.9482	1	1	N	370
UniRef90_A0A024TN41	436	78	436	19	510	0.9443	1	1	N	359
UniRef90_A0A7S0HQ19	435	78	435	22	507	0.9328	1	1	N	358
UniRef90_A0A6J4VJK5	435	66	430	19	510	0.9443	1	1	N	365
UniRef90_M4RTD6	432	69	432	23	507	0.9309	1	1	N	364
UniRef90_UPI0034CD14EE	435	10	401	17	510	0.9482	2	1	Y	392
UniRef90_UPI002362F201	435	68	429	19	509	0.9424	1	1	N	362
UniRef90_UPI003343D77C	435	66	431	19	516	0.9559	1	1	N	366
UniRef90_K1XTP2	433	74	433	21	508	0.9367	1	1	N	360
UniRef90_A0A0N0RTH9	433	51	424	26	508	0.9271	1	1	N	374
UniRef90_A0A0G4EUU4	433	38	367	19	466	0.8599	1	1	N	330
UniRef90_A0A080N6C7	433	71	433	23	507	0.9309	1	1	N	363
UniRef90_A0A177THP5	432	34	404	18	508	0.9424	1	1	N	371
UniRef90_A0A507AZ94	432	61	423	27	514	0.9367	1	1	N	363
UniRef90_UPI001FD84FB5	432	61	422	32	511	0.9213	1	1	N	362
UniRef90_A0AAE0I6B8	431	18	385	19	508	0.9405	1	1	N	368
UniRef90_A0A2X0KLJ2	431	45	397	22	501	0.9213	1	1	N	353
