seq_id	score_Ia	score_II	delta_bits	assigned_subtype	confidence
UniRef90_A0A010T5Y9	448.1	67.3	380.8	Ia	HIGH
UniRef90_A0A011M4D3	466.0	83.6	382.4	Ia	HIGH
UniRef90_A0A011NNQ5	538.4	126.1	412.3	Ia	HIGH
UniRef90_A0A011QJK6	470.6	83.7	386.9	Ia	HIGH
UniRef90_A0A011R1U0	550.8	124.7	426.1	Ia	HIGH
UniRef90_A0A014LZ94	544.3	98.3	446.0	Ia	HIGH
UniRef90_A0A014M242	575.2	86.0	489.2	Ia	HIGH
UniRef90_A0A014MT54	543.1	120.1	423.0	Ia	HIGH
UniRef90_A0A016QQD9	426.5	65.9	360.6	Ia	HIGH
UniRef90_A0A023X1F9	525.6	104.0	421.6	Ia	HIGH
UniRef90_A0A024E4E6	445.7	62.8	382.9	Ia	HIGH
UniRef90_A0A024GBB6	531.1	99.3	431.8	Ia	HIGH
UniRef90_A0A024GV61	478.4	87.3	391.1	Ia	HIGH
UniRef90_A0A024GZD7	486.0	120.5	365.5	Ia	HIGH
UniRef90_A0A024HBZ7	427.3	67.7	359.6	Ia	HIGH
UniRef90_A0A024HF64	498.5	81.9	416.6	Ia	HIGH
UniRef90_A0A024TN41	526.5	108.3	418.2	Ia	HIGH
UniRef90_A0A024UCE8	441.5	89.9	351.6	Ia	HIGH
UniRef90_A0A059KKH4	550.6	109.2	441.4	Ia	HIGH
UniRef90_A0A060NF47	552.7	99.9	452.8	Ia	HIGH
UniRef90_A0A060NTC9	523.0	98.5	424.5	Ia	HIGH
UniRef90_A0A060NTI5	518.8	97.5	421.3	Ia	HIGH
UniRef90_A0A060SPJ8	527.5	101.3	426.2	Ia	HIGH
UniRef90_A0A060SQD7	334.1	61.5	272.6	Ia	HIGH
UniRef90_A0A060T1R8	556.7	84.0	472.7	Ia	HIGH
UniRef90_A0A060T2T9	547.3	84.3	463.0	Ia	HIGH
UniRef90_A0A061BA44	564.3	81.0	483.3	Ia	HIGH
UniRef90_A0A061BBR0	568.1	90.7	477.4	Ia	HIGH
UniRef90_A0A061H2A3	531.4	104.1	427.3	Ia	HIGH
UniRef90_A0A061HL17	558.2	80.7	477.5	Ia	HIGH
UniRef90_A0A061JJN3	430.8	54.2	376.6	Ia	HIGH
UniRef90_A0A061JKG6	502.2	84.8	417.4	Ia	HIGH
UniRef90_A0A063Y0N4	515.3	75.0	440.3	Ia	HIGH
UniRef90_A0A066RLJ6	554.8	99.3	455.5	Ia	HIGH
UniRef90_A0A066VGE3	518.5	67.3	451.2	Ia	HIGH
UniRef90_A0A066WIB7	538.7	111.1	427.6	Ia	HIGH
UniRef90_A0A066ZNH8	556.4	104.7	451.7	Ia	HIGH
UniRef90_A0A067MH88	529.8	90.6	439.2	Ia	HIGH
