seq_id	L_seq	cov_best	cov_merged	n_domains	rescued_by_stitching	bin
UniRef90_A0A1Y6L4U9	2467	0.9448	0.9448	1	False	PASS_LONG
UniRef90_A0A388LH58	2309	0.9512	0.9512	1	False	PASS_LONG
UniRef90_F0W842	1987	0.9363	0.9363	1	False	PASS_LONG
UniRef90_A0A9P7A0N9	1753	0.6008	0.6008	1	False	FRAG
UniRef90_A0AAD5F728	1573	0.9788	0.9788	1	False	PASS_LONG
UniRef90_A0A2P6TZV2	1479	0.9597	0.9597	1	False	PASS_LONG
UniRef90_A0A1X7REJ8	1478	0.9448	0.9448	1	False	PASS_LONG
UniRef90_A0AA36IP41	1444	0.9639	0.9639	1	False	PASS_LONG
UniRef90_A0A2N9GV98	1443	0.1783	0.1783	1	False	FRAG
UniRef90_A0A8S2AQE6	1433	0.9682	0.9682	1	False	PASS_LONG
UniRef90_A0AAD9IHV9	1430	0.4565	0.8662	2	True	PASS_LONG
UniRef90_A0AAD5RSY5	1406	0.9448	0.9448	1	False	PASS_LONG
UniRef90_A0A8H3GN75	1400	0.9130	0.9130	1	False	PASS_LONG
UniRef90_A0A6A6K2B8	1400	0.5817	0.9257	2	True	PASS_LONG
UniRef90_A0A8H2XPD6	1349	0.4119	0.6348	2	False	FRAG
UniRef90_A0A4S8ITY6	1165	0.4204	0.5902	2	False	FRAG
UniRef90_A0A5Q4BY79	1289	0.4246	0.9469	2	True	PASS_LONG
UniRef90_A0A8H3GUC2	1285	0.4098	0.8408	2	True	PASS_LONG
UniRef90_A0A439D367	1247	0.6242	0.6242	1	False	FRAG
UniRef90_A0A9P8A545	1241	0.9575	0.9575	1	False	PASS_LONG
UniRef90_A0AAV5GFM2	1237	0.8705	0.8705	1	False	PASS_LONG
UniRef90_A0A6A6LCL5	1234	0.5414	0.8556	2	True	PASS_LONG
UniRef90_A0A4S4LBU1	1200	0.7495	0.7495	1	False	PASS_LONG
UniRef90_A0A4S8J5J9	1197	0.1699	0.1699	1	False	FRAG
UniRef90_A0A9N8V1A6	1192	0.9490	0.9490	1	False	PASS_LONG
UniRef90_A0A9J6ALB3	1192	0.9703	0.9703	1	False	PASS_LONG
UniRef90_A0A0D3H1H8	1177	0.7346	0.7346	1	False	PASS_LONG
UniRef90_A0A9Q8T3G6	1175	0.9469	0.9469	1	False	PASS_LONG
UniRef90_UPI000A016E18	1166	0.4713	0.8386	2	True	PASS_LONG
UniRef90_UPI00326066C7	1148	0.4735	0.8344	2	True	PASS_LONG
UniRef90_A0A2K1QM62	1124	0.9427	0.9427	1	False	PASS_LONG
UniRef90_A0ACB7Y4Y5	1113	0.1635	0.1635	1	False	FRAG
UniRef90_A0A9Q0JJ26	1098	0.9682	0.9682	1	False	PASS_LONG
UniRef90_K0R439	1087	0.9533	0.9533	1	False	PASS_LONG
UniRef90_A0A9N8WN88	1075	0.9533	0.9533	1	False	PASS_LONG
UniRef90_A0ACC2HWY4	1029	0.9469	0.9469	1	False	PASS_LONG
UniRef90_A0A5N5I1S9	1015	0.2505	0.3673	2	False	FRAG
UniRef90_A0ABP0MNU8	1013	0.4820	0.7877	2	True	PASS_LONG
UniRef90_A0ACC0UQB3	1012	0.9469	0.9469	1	False	PASS_LONG
UniRef90_A0ABR1FM70	1011	0.9512	0.9512	1	False	PASS_LONG
UniRef90_A0A0G4NAZ4	1005	0.5202	0.5202	1	False	FRAG
UniRef90_A0ABQ7ARD1	990	0.5053	0.5053	1	False	FRAG
UniRef90_A0AAJ0G0A8	979	0.9554	0.9554	1	False	PASS_LONG
UniRef90_A0A0C1E1M3	971	0.4140	0.9448	2	True	PASS_LONG
UniRef90_A0A437A4T0	970	0.9554	0.9554	1	False	PASS_LONG
UniRef90_A0ABD1VIF5	964	0.9597	0.9597	3	False	PASS_LONG
UniRef90_A0AAP0CI32	959	0.6008	0.9172	2	True	PASS_LONG
UniRef90_A0ACC1QTS7	955	0.9597	0.9597	1	False	PASS_LONG
UniRef90_A0A2S4VP28	945	0.4098	0.7792	2	True	PASS_LONG
UniRef90_A0ABR2NML1	922	0.9745	0.9745	1	False	PASS_LONG
UniRef90_A0AAD6IR22	921	0.9512	0.9512	1	False	PASS_LONG
UniRef90_A0ABS3GR15	921	0.4650	0.8280	2	True	PASS_LONG
UniRef90_A0A1H3WPV3	916	0.4628	0.8386	2	True	PASS_LONG
UniRef90_UPI0015E44C20	916	0.4692	0.8386	2	True	PASS_LONG
UniRef90_A0AAD4TC10	911	0.8896	0.8896	1	False	PASS_LONG
UniRef90_UPI00032755C1	911	0.4437	0.8004	2	True	PASS_LONG
UniRef90_UPI00316D298C	910	0.8981	0.8981	1	False	PASS_LONG
UniRef90_UPI0035ADE9EA	910	0.4522	0.8195	2	True	PASS_LONG
UniRef90_UPI00098E2FE7	903	0.9575	0.9575	1	False	PASS_LONG
UniRef90_H6SRE3	899	0.9724	0.9724	1	False	PASS_LONG
UniRef90_A0A1E3BSJ0	875	0.9406	0.9406	1	False	PASS_LONG
UniRef90_A0A8J5XIN5	865	0.9299	0.9299	1	False	PASS_LONG
UniRef90_A0A1V8TNI0	863	0.4183	0.9448	2	True	PASS_LONG
UniRef90_A0A2G7G9L4	853	0.3036	0.6709	2	False	FRAG
UniRef90_A0A1Q9F1Y3	836	0.7983	0.7983	1	False	PASS_LONG
UniRef90_S0EPZ7	435	0.4713	0.8365	2	True	PASS_CANONICAL
UniRef90_A0AAF0IM81	823	0.4098	0.9363	2	True	PASS_LONG
UniRef90_A0A899G207	820	0.7473	0.7473	1	False	PASS_LONG
UniRef90_A0A1E5V2X3	818	0.9512	0.9512	1	False	PASS_LONG
UniRef90_A5C138	815	0.9766	0.9766	1	False	PASS_LONG
UniRef90_A0A2U1NGN5	808	0.9490	0.9490	2	False	PASS_LONG
UniRef90_A0A7S4DIG3	805	0.4820	0.8429	2	True	PASS_LONG
UniRef90_B4FLF2	180	0.2229	0.2229	1	False	FRAG
UniRef90_UPI0030D1AED8	791	0.4692	0.7898	2	True	PASS_LONG
UniRef90_A0A3M6BI03	780	0.9512	0.9512	1	False	PASS_LONG
UniRef90_A0ABP9YN56	785	0.9490	0.9490	1	False	PASS_LONG
UniRef90_A0ABR0KNC9	782	0.5244	0.9448	2	True	PASS_LONG
UniRef90_A0A8H7B9A3	676	0.9299	0.9299	1	False	PASS_LONG
UniRef90_A0A6A6IWI1	777	0.9406	0.9406	1	False	PASS_LONG
UniRef90_A0AAX1W5S1	448	0.9469	0.9469	1	False	PASS_CANONICAL
UniRef90_A0A0W0G3T9	775	0.9214	0.9214	1	False	PASS_LONG
UniRef90_A0A367JBC6	767	0.9469	0.9469	1	False	PASS_LONG
UniRef90_A0A5N5QPS0	763	0.4246	0.9130	2	True	PASS_LONG
UniRef90_A0AAD6REQ7	757	0.8068	0.8068	1	False	PASS_LONG
UniRef90_A0AAD7ULI8	756	0.9512	0.9512	1	False	PASS_LONG
UniRef90_A0AAD5BN67	752	0.6178	0.6178	1	False	FRAG
UniRef90_A0A058ZDW4	750	0.1656	0.3121	2	False	FRAG
UniRef90_A0A8J5HQN3	748	0.1975	0.1975	1	False	FRAG
UniRef90_UPI000550E37A	746	0.3652	0.3652	1	False	FRAG
UniRef90_A0A816ZE11	518	0.9618	0.9618	1	False	PASS_CANONICAL
UniRef90_A0A7U9HBN6	742	0.9490	0.9490	1	False	PASS_LONG
UniRef90_A0A7W7U179	742	0.4395	0.8004	2	True	PASS_LONG
UniRef90_A0A9W6XC64	741	0.7580	0.7580	1	False	PASS_LONG
UniRef90_A0A8X8VYT3	740	0.9363	0.9363	1	False	PASS_LONG
UniRef90_UPI0032DF74C5	740	0.2909	0.6093	2	False	FRAG
UniRef90_A0A7W7QC17	733	0.4374	0.8047	2	True	PASS_LONG
UniRef90_UPI0035119012	733	0.4374	0.7919	2	True	PASS_LONG
UniRef90_A0A6I6FRW9	421	0.4374	0.7834	2	True	PASS_CANONICAL
UniRef90_A0ABV9XL50	731	0.4416	0.7771	2	True	PASS_LONG
UniRef90_A0A813E5W4	729	0.3270	0.3270	1	False	FRAG
UniRef90_UPI0033B0DBFA	729	0.4395	0.8004	2	True	PASS_LONG
UniRef90_A0ABR2MRX7	727	0.8025	0.9724	2	False	PASS_LONG
UniRef90_E3RK76	725	0.9597	0.9597	1	False	PASS_LONG
UniRef90_Q0V4Y8	607	0.9575	0.9575	1	False	PASS_LONG
UniRef90_A0A1C7M1R7	723	0.9575	0.9575	1	False	PASS_LONG
UniRef90_A0A8S2AYT5	721	0.9682	0.9682	1	False	PASS_LONG
UniRef90_A0ABC8U3Z5	718	0.1635	0.2866	2	False	FRAG
UniRef90_A0A6A6LHW0	709	0.9469	0.9469	1	False	PASS_LONG
UniRef90_UPI0036D07238	704	0.5244	0.5244	1	False	FRAG
UniRef90_A0A8S9G763	702	0.2272	0.2272	1	False	FRAG
UniRef90_R0JUT5	700	0.9512	0.9512	1	False	PASS_LONG
UniRef90_UPI0037BD7351	699	0.4756	0.8174	2	True	PASS_LONG
UniRef90_A0A7W9UM24	614	0.9045	0.9045	1	False	PASS_LONG
UniRef90_J4I8I8	691	0.6879	0.6879	1	False	FRAG
UniRef90_A0ABR2NM35	691	0.9745	0.9745	1	False	PASS_LONG
UniRef90_A0A167CQX1	690	0.9172	0.9172	1	False	PASS_LONG
UniRef90_A0A8X8YZG4	689	0.9618	0.9618	1	False	PASS_LONG
UniRef90_UPI0024563F11	686	0.9172	0.9172	1	False	PASS_LONG
UniRef90_A0A163LFQ5	685	0.4777	0.8408	2	True	PASS_LONG
UniRef90_A0AA38TVU4	553	0.9788	0.9788	1	False	PASS_CANONICAL
UniRef90_A0A438KPW9	683	0.6327	0.9618	2	True	PASS_LONG
UniRef90_A0A9W7D057	682	0.9406	0.9406	1	False	PASS_LONG
UniRef90_A0AAN9MB18	678	0.9575	0.9575	1	False	PASS_LONG
UniRef90_W6Y2S7	664	0.9597	0.9597	1	False	PASS_LONG
UniRef90_A0A8H4QX61	674	0.9490	0.9490	1	False	PASS_LONG
UniRef90_A0A370HPN3	674	0.9045	0.9045	1	False	PASS_LONG
UniRef90_UPI0034488F15	672	0.4522	0.8089	2	True	PASS_LONG
UniRef90_A0A177CUD2	664	0.9257	0.9257	1	False	PASS_LONG
UniRef90_A0A9D3U709	667	0.9766	0.9766	1	False	PASS_LONG
UniRef90_A0A7D8Z7Y7	666	0.4013	0.6773	2	False	FRAG
UniRef90_A0AAD5CUE7	666	0.4671	0.4671	1	False	FRAG
UniRef90_A0ABR1M9A0	663	0.9427	0.9427	1	False	PASS_LONG
UniRef90_UPI002455FC2C	663	0.3673	0.3673	1	False	FRAG
UniRef90_A0A6H9Z9H8	662	0.6412	0.8726	2	True	PASS_LONG
UniRef90_I1JGU8	532	0.9597	0.9597	1	False	PASS_CANONICAL
UniRef90_UPI0034541B63	661	0.9130	0.9130	1	False	PASS_LONG
UniRef90_UPI00245685AA	659	0.9023	0.9023	1	False	PASS_LONG
UniRef90_A0A8B8JLI2	528	0.9703	0.9703	1	False	PASS_CANONICAL
UniRef90_Q75W16	539	0.9597	0.9597	1	False	PASS_CANONICAL
UniRef90_UPI00398F0D00	657	0.9130	0.9130	1	False	PASS_LONG
UniRef90_A0ABS0CG27	606	0.3057	0.3057	1	False	FRAG
UniRef90_A0A370H0J4	653	0.9023	0.9023	1	False	PASS_LONG
UniRef90_G3JT84	652	0.2824	0.2824	1	False	FRAG
UniRef90_S9QXS5	651	0.8153	0.8153	1	False	PASS_LONG
UniRef90_A0A6A6S988	650	0.9363	0.9363	1	False	PASS_LONG
UniRef90_UPI00342AD2A8	650	0.4459	0.7665	2	True	PASS_LONG
UniRef90_A0A8H3D1G4	524	0.9469	0.9469	1	False	PASS_CANONICAL
UniRef90_Q75LR2	554	0.9660	0.9660	1	False	PASS_CANONICAL
UniRef90_A0A6L2LTV5	645	0.9660	0.9660	1	False	PASS_LONG
UniRef90_UPI003CEB3403	645	0.9066	0.9066	1	False	PASS_LONG
UniRef90_A0ACD0NLX1	640	0.6476	0.9490	2	True	PASS_LONG
UniRef90_A0A0C2M0N8	640	0.4352	0.7601	2	True	PASS_LONG
UniRef90_A0A1W0A357	639	0.9257	0.9257	1	False	PASS_LONG
UniRef90_UPI001FA72741	639	0.9002	0.9002	1	False	PASS_LONG
UniRef90_A0A1D1ZHP0	638	0.9554	0.9554	1	False	PASS_LONG
UniRef90_A0ABN9WLM6	634	0.7856	0.7856	1	False	PASS_LONG
UniRef90_UPI0018947AD2	633	0.3864	0.3864	1	False	FRAG
UniRef90_A0A8H5D7H2	628	0.4628	0.8854	3	True	PASS_LONG
UniRef90_A0A1D3D6Z0	628	0.4013	0.7304	2	True	PASS_LONG
UniRef90_A0A8H7IIQ4	627	0.2123	0.3227	2	False	FRAG
UniRef90_A0A4Y9XKL7	625	0.2484	0.4183	2	False	FRAG
UniRef90_UPI0015739305	625	0.3652	0.3652	1	False	FRAG
UniRef90_UPI00245439D8	624	0.4204	0.4204	1	False	FRAG
UniRef90_UPI0034095DA8	620	0.4310	0.7537	2	True	PASS_LONG
UniRef90_A0ACB6RVQ7	618	0.9469	0.9469	1	False	PASS_LONG
UniRef90_F0V8G5	539	0.4650	0.8365	2	True	PASS_CANONICAL
UniRef90_A0AAV7G4E7	539	0.9724	0.9724	1	False	PASS_CANONICAL
UniRef90_A0A7I4C359	616	0.9575	0.9575	1	False	PASS_LONG
UniRef90_A0AAP0BJN9	559	0.9766	0.9766	1	False	PASS_CANONICAL
UniRef90_A0AA38L7K6	616	0.9745	0.9745	1	False	PASS_LONG
UniRef90_V4ZCP3	615	0.4692	0.8323	2	True	PASS_LONG
UniRef90_A0A0E0GNJ8	615	0.9618	0.9618	1	False	PASS_LONG
