seq_id	seq_len	module	from	to	module_len
UniRef90_A0A1F5MHM7	353	ACT_domain	18	84	67
UniRef90_A0A0G0MUE5	351	ACT_domain	16	83	68
UniRef90_V5WN41	702	ACT_domain	261	327	67
UniRef90_UPI0010453BC3	683	ACT_domain	267	333	67
UniRef90_UPI00025556D9	671	ACT_domain	243	311	69
UniRef90_A0A975F4E5	666	ACT_domain	234	288	55
UniRef90_F5YB46	663	ACT_domain	238	304	67
UniRef90_A0A806KMZ2	661	ACT_domain	233	299	67
UniRef90_F4LM29	661	ACT_domain	231	301	71
UniRef90_A0AAE3EIA5	655	ACT_domain	220	273	54
UniRef90_A0A9E2L2E0	651	ACT_domain	220	291	72
UniRef90_UPI003F0AAAB7	646	ACT_domain	220	271	52
UniRef90_A0A9D6V145	644	ACT_domain	217	285	69
UniRef90_A0A9D9H4Y8	639	ACT_domain	222	287	66
UniRef90_A0A7T7XMI5	639	ACT_domain	224	289	66
UniRef90_UPI003BB50DD0	639	ACT_domain	223	290	68
UniRef90_A0A098QW07	638	ACT_domain	216	282	67
UniRef90_UPI002FC9EF5D	637	ACT_domain	219	286	68
UniRef90_F4GLY0	636	ACT_domain	220	271	52
UniRef90_A0A1W1H6Z0	636	ACT_domain	220	285	66
UniRef90_A0A9D9EBQ0	636	ACT_domain	222	287	66
UniRef90_A0A7X2TQ93	636	ACT_domain	219	284	66
UniRef90_A0AAJ1IJI6	636	ACT_domain	217	272	56
UniRef90_A0A5C1QRX8	636	ACT_domain	211	277	67
UniRef90_A0A1Y1RXA1	635	ACT_domain	218	284	67
UniRef90_UPI0028A54DB1	635	ACT_domain	213	281	69
UniRef90_G0GDR5	634	ACT_domain	209	265	57
UniRef90_A0A9W6L9T8	633	ACT_domain	218	287	70
UniRef90_A0LPP2	632	ACT_domain	218	282	65
UniRef90_UPI0016A349B7	632	ACT_domain	218	263	46
UniRef90_A0A9D8KET7	631	ACT_domain	217	283	67
UniRef90_A0ABZ2YCB5	631	ACT_domain	207	273	67
UniRef90_A0ABU9U8P8	630	ACT_domain	211	277	67
UniRef90_A0A1I4T6Z2	630	ACT_domain	215	282	68
UniRef90_E1RAE0	629	ACT_domain	212	280	69
UniRef90_A0A5C1QBR4	628	ACT_domain	204	272	69
UniRef90_A0A841RJB6	627	ACT_domain	208	274	67
UniRef90_A0A7T1F3Z5	627	ACT_domain	221	284	64
UniRef90_A0A8J6NVD1	625	ACT_domain	220	282	63
UniRef90_A0A7W0HLS2	624	ACT_domain	220	286	67
UniRef90_A0AA41R424	623	ACT_domain	217	283	67
UniRef90_A0A328FED5	622	ACT_domain	216	283	68
UniRef90_S0G5T6	622	ACT_domain	215	272	58
UniRef90_K0NL22	622	ACT_domain	218	283	66
UniRef90_UPI0003B6C3C2	622	ACT_domain	216	282	67
UniRef90_UPI0006B54FD9	622	ACT_domain	216	282	67
UniRef90_UPI00025B0AB2	580	ACT_domain	218	286	69
