seq_id	seq_len	core_start	core_end	hmm_from	hmm_to	coverage	n_hits	n_env_segments	stitched_flag	core_residues	env_segments	raw_env_start	raw_env_end	pad_left	pad_right
UniRef90_A0A1Q3DYP8	407	2	407	13	508	0.9520	1	1	N	406	22-395	22	395	20	12
UniRef90_W2PKA3	441	61	441	15	511	0.9539	1	1	N	381	81-441	81	441	20	0
UniRef90_A0A0L0V4T6	442	50	442	28	509	0.9251	1	1	N	393	70-429	70	429	20	13
UniRef90_A0A2X0LSJ7	422	5	413	20	508	0.9386	1	1	N	409	25-393	25	393	20	20
UniRef90_A0A5K8AE01	450	64	450	19	506	0.9367	1	1	N	387	84-443	84	443	20	7
UniRef90_A0A2N5VDK2	382	1	382	20	510	0.9424	1	1	N	382	10-380	10	380	9	2
UniRef90_UPI0034CE9D64	448	1	419	17	508	0.9443	2	2	Y	419	5-271;274-399	5	399	4	20
UniRef90_UPI000AC882F6	448	50	448	26	509	0.9290	1	1	N	399	70-432	70	432	20	16
UniRef90_K3XA97	447	67	447	16	511	0.9520	1	1	N	381	87-447	87	447	20	0
UniRef90_A0A087AKZ7	447	65	447	23	507	0.9309	1	1	N	383	85-446	85	446	20	1
UniRef90_A0A4Y9YQ65	446	15	446	17	507	0.9424	2	2	Y	432	35-143;166-438	35	438	20	8
UniRef90_A0ABP1CQN4	445	54	445	26	509	0.9290	1	1	N	392	74-436	74	436	20	9
UniRef90_T0S8K2	445	65	445	20	508	0.9386	1	1	N	381	85-445	85	445	20	0
UniRef90_A0A5N6KGA1	441	63	441	19	508	0.9405	1	1	N	379	83-441	83	441	20	0
UniRef90_A0A2N5SER7	439	42	439	17	509	0.9463	1	1	N	398	62-438	62	438	20	1
UniRef90_A0A814WGS3	439	54	439	17	508	0.9443	1	1	N	386	74-439	74	439	20	0
UniRef90_A0A1C7M1W5	438	29	438	19	509	0.9424	1	1	N	410	49-431	49	431	20	7
UniRef90_A0A6P2C9K3	438	1	381	19	511	0.9463	1	1	N	381	1-361	1	361	0	20
UniRef90_M5E3H3	438	59	438	18	504	0.9347	1	1	N	380	79-436	79	436	20	2
UniRef90_A0A0L0W5Q8	437	18	427	19	509	0.9424	1	1	N	410	38-407	38	407	20	20
UniRef90_A0A0L0UYB5	437	42	437	21	507	0.9347	1	1	N	396	62-434	62	434	20	3
UniRef90_A0ABR1F0J1	436	1	420	16	508	0.9463	2	2	Y	420	4-270;283-400	4	400	3	20
UniRef90_A0A1J8PMW2	436	34	436	15	508	0.9482	1	1	N	403	54-423	54	423	20	13
UniRef90_A0A024TN41	436	58	436	19	510	0.9443	1	1	N	379	78-436	78	436	20	0
UniRef90_A0A7S0HQ19	435	58	435	22	507	0.9328	1	1	N	378	78-435	78	435	20	0
UniRef90_A0A6J4VJK5	435	46	435	19	510	0.9443	1	1	N	390	66-430	66	430	20	5
UniRef90_M4RTD6	432	49	432	23	507	0.9309	1	1	N	384	69-432	69	432	20	0
UniRef90_UPI0034CD14EE	435	1	421	17	510	0.9482	2	1	Y	421	10-401	10	401	9	20
UniRef90_UPI002362F201	435	48	435	19	509	0.9424	1	1	N	388	68-429	68	429	20	6
UniRef90_UPI003343D77C	435	46	435	19	516	0.9559	1	1	N	390	66-431	66	431	20	4
UniRef90_K1XTP2	433	54	433	21	508	0.9367	1	1	N	380	74-433	74	433	20	0
UniRef90_A0A0N0RTH9	433	31	433	26	508	0.9271	1	1	N	403	51-424	51	424	20	9
UniRef90_A0A0G4EUU4	433	18	387	19	466	0.8599	1	1	N	370	38-367	38	367	20	20
UniRef90_A0A080N6C7	433	51	433	23	507	0.9309	1	1	N	383	71-433	71	433	20	0
UniRef90_A0A177THP5	432	14	424	18	508	0.9424	1	1	N	411	34-404	34	404	20	20
UniRef90_A0A507AZ94	432	41	432	27	514	0.9367	1	1	N	392	61-423	61	423	20	9
UniRef90_UPI001FD84FB5	432	41	432	32	511	0.9213	1	1	N	392	61-422	61	422	20	10
UniRef90_A0AAE0I6B8	431	1	405	19	508	0.9405	1	1	N	405	18-385	18	385	17	20
UniRef90_A0A2X0KLJ2	431	25	417	22	501	0.9213	1	1	N	393	45-397	45	397	20	20
UniRef90_G4T5B4	431	46	431	16	513	0.9559	1	1	N	386	66-430	66	430	20	1
UniRef90_A0A813ZE00	431	46	431	28	507	0.9213	1	1	N	386	66-431	66	431	20	0
UniRef90_A0AA40BX07	430	39	430	27	509	0.9271	1	1	N	392	59-421	59	421	20	9
UniRef90_A0A087ECF0	430	55	430	23	507	0.9309	1	1	N	376	75-430	75	430	20	0
UniRef90_A0A087BTF7	430	44	430	24	512	0.9386	1	1	N	387	64-429	64	429	20	1
UniRef90_A0ABW8N4D1	430	1	338	17	437	0.8081	1	1	N	338	15-318	15	318	14	20
UniRef90_UPI00044077F1	430	19	430	11	508	0.9559	1	1	N	412	39-414	39	414	20	16
UniRef90_A0A1E3Q375	428	1	416	20	511	0.9443	2	1	Y	416	6-396	6	396	5	20
UniRef90_A0A4Y9Z858	429	1	415	19	511	0.9463	2	2	Y	415	4-272;284-395	4	395	3	20
UniRef90_A0A1B7NA63	429	1	396	20	513	0.9482	1	1	N	396	5-376	5	376	4	20
UniRef90_A0AA41QGQ3	429	3	409	17	509	0.9463	1	1	N	407	23-389	23	389	20	20
UniRef90_A0ABX0DDS4	428	30	428	11	507	0.9539	1	1	N	399	50-427	50	427	20	1
UniRef90_A0A138ZWQ9	427	44	427	19	510	0.9443	1	1	N	384	64-427	64	427	20	0
UniRef90_A0A0C9YNJ7	426	1	402	14	510	0.9539	1	1	N	402	11-382	11	382	10	20
UniRef90_F2BAF5	426	58	426	19	504	0.9328	1	1	N	369	78-426	78	426	20	0
UniRef90_U5E8U8	426	1	391	18	514	0.9539	1	1	N	391	4-371	4	371	3	20
UniRef90_UPI003689F542	426	27	421	26	508	0.9271	1	1	N	395	47-401	47	401	20	20
UniRef90_UPI0003621A3E	426	43	426	23	508	0.9328	1	1	N	384	63-426	63	426	20	0
UniRef90_A0A0L0TC48	425	30	425	21	512	0.9443	1	1	N	396	50-422	50	422	20	3
UniRef90_B8DVX4	415	35	415	23	507	0.9309	1	1	N	381	55-415	55	415	20	0
UniRef90_UPI0023F8E677	425	43	425	23	507	0.9309	1	1	N	383	63-425	63	425	20	0
UniRef90_A0A5C3MS71	424	20	424	17	510	0.9482	1	1	N	405	40-407	40	407	20	17
UniRef90_A0A6G8PV92	424	46	424	14	508	0.9501	1	1	N	379	66-424	66	424	20	0
UniRef90_A0A5M9ZZV5	424	43	424	22	507	0.9328	1	1	N	382	63-424	63	424	20	0
UniRef90_A0A0P9ZPN8	424	41	424	17	504	0.9367	1	1	N	384	61-423	61	423	20	1
UniRef90_A0A0C2XVN7	423	11	423	14	509	0.9520	1	1	N	413	31-404	31	404	20	19
UniRef90_A0A4Y9ZD98	423	32	423	23	509	0.9347	1	1	N	392	52-412	52	412	20	11
UniRef90_A0A2P7YLJ4	423	1	387	19	505	0.9347	1	1	N	387	6-367	6	367	5	20
UniRef90_A0A9Q3GH55	423	32	423	15	513	0.9578	1	1	N	392	52-423	52	423	20	0
UniRef90_A0A087AGB1	423	41	423	23	507	0.9309	1	1	N	383	61-423	61	423	20	0
UniRef90_A0ABP6PGQ7	423	44	423	32	508	0.9155	1	1	N	380	64-416	64	416	20	7
UniRef90_A0A433MVR6	423	1	390	26	509	0.9290	1	1	N	390	3-370	3	370	2	20
UniRef90_UPI001C9731D2	423	42	423	32	510	0.9194	1	1	N	382	62-420	62	420	20	3
UniRef90_A0A8H5H419	422	15	422	14	510	0.9539	1	1	N	408	35-409	35	409	20	13
UniRef90_A0A066WIB7	422	1	396	20	514	0.9501	1	1	N	396	7-376	7	376	6	20
UniRef90_A0A316V189	422	1	392	17	510	0.9482	1	1	N	392	4-372	4	372	3	20
UniRef90_A0A4R1BSC7	352	1	352	20	508	0.9386	1	1	N	352	1-352	1	352	0	0
UniRef90_UPI0024B9BB47	422	22	422	17	508	0.9443	1	1	N	401	42-420	42	420	20	2
UniRef90_A0A316YQE4	421	1	394	19	512	0.9482	1	1	N	394	8-374	8	374	7	20
UniRef90_A0A316V5L8	421	1	399	19	516	0.9559	1	1	N	399	7-379	7	379	6	20
UniRef90_C4JD73	421	37	421	25	507	0.9271	1	1	N	385	57-421	57	421	20	0
UniRef90_A2S579	421	36	421	18	508	0.9424	1	1	N	386	56-420	56	420	20	1
UniRef90_A0A8H4UU39	420	41	420	26	507	0.9251	1	1	N	380	61-419	61	419	20	1
UniRef90_A0A9P7YH90	420	30	420	21	508	0.9367	1	1	N	391	50-412	50	412	20	8
UniRef90_A0A511KAZ8	420	1	409	15	511	0.9539	1	1	N	409	5-389	5	389	4	20
UniRef90_A0A0D6R4W0	420	1	388	21	513	0.9463	1	1	N	388	6-368	6	368	5	20
UniRef90_A0A8J4AE96	420	10	408	48	515	0.8983	1	1	N	399	30-388	30	388	20	20
UniRef90_A0A3E2C4N5	420	44	420	24	507	0.9290	1	1	N	377	64-420	64	420	20	0
UniRef90_A0A0Q0D0W0	419	48	419	29	504	0.9136	1	1	N	372	68-419	68	419	20	0
UniRef90_A0A366H345	419	37	419	15	509	0.9501	1	1	N	383	57-419	57	419	20	0
UniRef90_UPI000DEBFB9E	419	50	419	32	507	0.9136	1	1	N	370	70-418	70	418	20	1
UniRef90_A0A4R0QZ43	409	18	409	20	508	0.9386	1	1	N	392	38-408	38	408	20	1
UniRef90_A0A3D9V423	418	33	418	19	510	0.9443	1	1	N	386	53-418	53	418	20	0
UniRef90_A0A087VVP6	416	43	416	25	507	0.9271	1	1	N	374	63-416	63	416	20	0
UniRef90_A0A316W5B2	417	1	396	19	510	0.9443	1	1	N	396	9-376	9	376	8	20
UniRef90_A0ABR4MZW2	417	35	417	18	510	0.9463	1	1	N	383	55-417	55	417	20	0
UniRef90_A0A4S4LCZ3	417	15	417	16	513	0.9559	1	1	N	403	35-405	35	405	20	12
UniRef90_A0A087AY84	417	32	417	22	507	0.9328	1	1	N	386	52-417	52	417	20	0
UniRef90_A0A348HGD5	417	42	417	24	504	0.9232	1	1	N	376	62-415	62	415	20	2
