seq_id	dah7ps_score	kdops_score	delta	verdict
UniRef90_A0A011NST9	92.4	427.3	-334.9	REMOVE
UniRef90_A0A011PCR0	95.3	432.1	-336.8	REMOVE
UniRef90_A0A011TCY7	101.4	423.0	-321.6	REMOVE
UniRef90_A0A016XFZ3	94.4	422.4	-328.0	REMOVE
UniRef90_A0A017HCM6	98.5	395.1	-296.6	REMOVE
UniRef90_A0A017HDF2	102.6	398.8	-296.2	REMOVE
UniRef90_A0A017RWW8	350.3	111.0	239.3	KEEP
UniRef90_A0A017TFB1	324.2	88.9	235.3	KEEP
UniRef90_A0A022R4P7	111.9	393.0	-281.1	REMOVE
UniRef90_A0A023BSP3	112.6	343.4	-230.8	REMOVE
UniRef90_A0A023CY89	372.5	111.4	261.1	KEEP
UniRef90_A0A023D0Q3	117.6	418.9	-301.3	REMOVE
UniRef90_A0A023DXN2	91.9	369.1	-277.2	REMOVE
UniRef90_A0A024QA01	443.6	115.0	328.6	KEEP
UniRef90_A0A024U2K5	104.1	344.1	-240.0	REMOVE
UniRef90_A0A031LQE1	391.4	98.3	293.1	KEEP
UniRef90_A0A037ZLF8	95.0	396.7	-301.7	REMOVE
UniRef90_A0A058ZJT4	120.3	415.6	-295.3	REMOVE
UniRef90_A0A059DWV6	60.8	363.6	-302.8	REMOVE
UniRef90_A0A059FFB8	60.5	365.0	-304.5	REMOVE
UniRef90_A0A059KH04	95.7	408.9	-313.2	REMOVE
UniRef90_A0A059Y014	143.6	380.0	-236.4	REMOVE
UniRef90_A0A060LVN7	548.6	111.9	436.7	KEEP
UniRef90_A0A060NHB1	108.2	442.0	-333.8	REMOVE
UniRef90_A0A060QJK1	118.2	435.3	-317.1	REMOVE
UniRef90_A0A060R7A8	122.9	356.3	-233.4	REMOVE
UniRef90_A0A060RBC5	130.1	27.4	102.7	KEEP
UniRef90_A0A061AD23	417.7	120.8	296.9	KEEP
UniRef90_A0A061RA01	103.8	373.2	-269.4	REMOVE
UniRef90_A0A061SU03	103.9	401.6	-297.7	REMOVE
UniRef90_A0A062UNF5	72.7	368.9	-296.2	REMOVE
UniRef90_A0A062XYK1	126.1	377.1	-251.0	REMOVE
UniRef90_A0A062Y1R7	405.4	94.5	310.9	KEEP
UniRef90_A0A063Y865	87.2	435.1	-347.9	REMOVE
UniRef90_A0A066RJW7	97.5	429.1	-331.6	REMOVE
UniRef90_A0A066TDI5	97.9	nan	nan	KEEP
UniRef90_A0A066UKH8	96.8	415.5	-318.7	REMOVE
UniRef90_A0A066WUA9	170.9	51.6	119.3	KEEP
UniRef90_A0A067F2K6	93.0	294.1	-201.1	REMOVE
UniRef90_A0A067K699	113.7	386.8	-273.1	REMOVE
UniRef90_A0A067KNL7	112.5	390.7	-278.2	REMOVE
UniRef90_A0A068DWU9	177.7	58.1	119.6	KEEP
UniRef90_A0A068NPB1	398.1	109.2	288.9	KEEP
UniRef90_A0A068NPH7	385.1	120.4	264.7	KEEP
UniRef90_A0A068NXL5	110.8	351.9	-241.1	REMOVE
UniRef90_A0A068SNB5	106.5	428.6	-322.1	REMOVE
UniRef90_A0A068UR33	116.7	389.2	-272.5	REMOVE
UniRef90_A0A069D1P0	179.3	52.0	127.3	KEEP
UniRef90_A0A069D7X3	122.0	355.3	-233.3	REMOVE
UniRef90_A0A069QK05	187.9	44.1	143.8	KEEP
UniRef90_A0A069REG3	373.8	105.9	267.9	KEEP
UniRef90_A0A069RI84	410.7	130.9	279.8	KEEP
UniRef90_A0A069RJT6	410.1	124.6	285.5	KEEP
UniRef90_A0A069ZQA8	283.8	68.8	215.0	KEEP
UniRef90_A0A072NWP1	163.1	nan	nan	KEEP
UniRef90_A0A073J3E8	114.5	378.6	-264.1	REMOVE
UniRef90_A0A073JZJ9	562.8	122.3	440.5	KEEP
UniRef90_A0A074JKI7	106.7	412.2	-305.5	REMOVE
UniRef90_A0A074KY65	346.2	97.4	248.8	KEEP
UniRef90_A0A074L2Z8	124.8	374.3	-249.5	REMOVE
UniRef90_A0A074L3C0	152.2	60.3	91.9	KEEP
UniRef90_A0A074LY39	495.0	109.4	385.6	KEEP
UniRef90_A0A074M3I4	122.7	430.9	-308.2	REMOVE
UniRef90_A0A074MD82	105.8	421.0	-315.2	REMOVE
UniRef90_A0A075K403	111.8	460.5	-348.7	REMOVE
UniRef90_A0A075LMG7	545.1	120.8	424.3	KEEP
UniRef90_A0A075NV90	87.2	430.4	-343.2	REMOVE
UniRef90_A0A075TZM3	358.9	100.8	258.1	KEEP
UniRef90_A0A075WRH3	98.2	386.2	-288.0	REMOVE
UniRef90_A0A075WUI4	246.5	61.0	185.5	KEEP
UniRef90_A0A076FCP7	82.8	369.4	-286.6	REMOVE
UniRef90_A0A077AYP4	117.7	422.7	-305.0	REMOVE
UniRef90_A0A077DHW1	125.9	447.8	-321.9	REMOVE
UniRef90_A0A078KMJ8	415.8	107.4	308.4	KEEP
UniRef90_A0A078L3R6	110.4	446.4	-336.0	REMOVE
UniRef90_A0A081B8Z1	106.7	436.8	-330.1	REMOVE
UniRef90_A0A081BPK0	392.7	118.9	273.8	KEEP
UniRef90_A0A081C6K4	101.4	386.7	-285.3	REMOVE
UniRef90_A0A081C9H9	386.8	124.7	262.1	KEEP
UniRef90_A0A081CWB0	100.2	426.2	-326.0	REMOVE
UniRef90_A0A081D8J1	153.5	43.5	110.0	KEEP
UniRef90_A0A081FT71	94.4	435.0	-340.6	REMOVE
UniRef90_A0A081KD36	98.8	436.0	-337.2	REMOVE
UniRef90_A0A081NBP5	103.0	426.1	-323.1	REMOVE
UniRef90_A0A081NH71	92.8	426.9	-334.1	REMOVE
UniRef90_A0A081PDC9	165.1	39.1	126.0	KEEP
UniRef90_A0A081PI56	133.9	349.9	-216.0	REMOVE
UniRef90_A0A084CNG3	101.2	394.2	-293.0	REMOVE
UniRef90_A0A084ELT0	107.6	407.6	-300.0	REMOVE
UniRef90_A0A084GXV5	121.0	422.6	-301.6	REMOVE
UniRef90_A0A084IJZ8	92.1	410.7	-318.6	REMOVE
UniRef90_A0A084IUN9	558.2	116.7	441.5	KEEP
UniRef90_A0A084SJK0	167.0	52.4	114.6	KEEP
UniRef90_A0A084TM35	173.4	48.2	125.2	KEEP
UniRef90_A0A084TNU8	105.8	336.0	-230.2	REMOVE
UniRef90_A0A084UAI9	95.7	424.8	-329.1	REMOVE
UniRef90_A0A084Y0E1	95.0	430.2	-335.2	REMOVE
UniRef90_A0A085B908	157.3	46.9	110.4	KEEP
UniRef90_A0A085BHV2	126.1	328.7	-202.6	REMOVE
UniRef90_A0A085TV40	104.7	408.3	-303.6	REMOVE
UniRef90_A0A086CHD2	354.7	107.9	246.8	KEEP
UniRef90_A0A086PA37	110.1	415.4	-305.3	REMOVE
UniRef90_A0A086XS59	106.5	417.0	-310.5	REMOVE
UniRef90_A0A086XXH5	101.5	404.9	-303.4	REMOVE
UniRef90_A0A087HJQ1	105.2	390.8	-285.6	REMOVE
UniRef90_A0A087SAQ1	94.4	360.7	-266.3	REMOVE
UniRef90_A0A089MVR7	119.1	416.7	-297.6	REMOVE
UniRef90_A0A090AHT5	110.8	430.3	-319.5	REMOVE
UniRef90_A0A090ANA8	393.6	102.7	290.9	KEEP
UniRef90_A0A090BU25	216.0	41.6	174.4	KEEP
UniRef90_A0A090CZT5	126.1	402.4	-276.3	REMOVE
UniRef90_A0A090IXF0	542.2	107.1	435.1	KEEP
UniRef90_A0A090Q577	101.4	337.4	-236.0	REMOVE
UniRef90_A0A090Q7M0	167.4	49.0	118.4	KEEP
UniRef90_A0A090QR77	257.8	72.1	185.7	KEEP
UniRef90_A0A090VHB1	103.2	336.9	-233.7	REMOVE
UniRef90_A0A090YLY7	577.2	120.8	456.4	KEEP
UniRef90_A0A090ZUU0	398.8	98.6	300.2	KEEP
UniRef90_A0A090ZYT3	513.9	100.6	413.3	KEEP
UniRef90_A0A091ARD2	115.9	455.4	-339.5	REMOVE
UniRef90_A0A091AWZ3	112.5	456.0	-343.5	REMOVE
UniRef90_A0A091C0W6	265.6	77.0	188.6	KEEP
UniRef90_A0A091C0Z3	117.1	454.9	-337.8	REMOVE
UniRef90_A0A091C2V1	420.2	103.4	316.8	KEEP
UniRef90_A0A091C467	93.8	nan	nan	KEEP
UniRef90_A0A094IRZ3	77.6	428.6	-351.0	REMOVE
UniRef90_A0A094IV70	86.8	432.4	-345.6	REMOVE
