seq_id	seq_len	module	from	to	module_len
UniRef90_W2PKA3	441	N_ext	1	80	80
UniRef90_A0A0L0V4T6	442	N_ext	1	69	69
UniRef90_A0A5K8AE01	450	N_ext	1	83	83
UniRef90_UPI000AC882F6	448	N_ext	1	69	69
UniRef90_K3XA97	447	N_ext	1	86	86
UniRef90_A0A087AKZ7	447	N_ext	1	84	84
UniRef90_A0A4Y9YQ65	446	N_ext	1	34	34
UniRef90_A0ABP1CQN4	445	N_ext	1	73	73
UniRef90_T0S8K2	445	N_ext	1	84	84
UniRef90_A0A5N6KGA1	441	N_ext	1	82	82
UniRef90_A0A2N5SER7	439	N_ext	1	61	61
UniRef90_A0A814WGS3	439	N_ext	1	73	73
UniRef90_A0A1C7M1W5	438	N_ext	1	48	48
UniRef90_M5E3H3	438	N_ext	1	78	78
UniRef90_A0A0L0W5Q8	437	N_ext	1	37	37
UniRef90_A0A0L0UYB5	437	N_ext	1	61	61
UniRef90_A0A1J8PMW2	436	N_ext	1	53	53
UniRef90_A0A024TN41	436	N_ext	1	77	77
UniRef90_A0A7S0HQ19	435	N_ext	1	77	77
UniRef90_A0A6J4VJK5	435	N_ext	1	65	65
UniRef90_M4RTD6	432	N_ext	1	68	68
UniRef90_UPI002362F201	435	N_ext	1	67	67
UniRef90_UPI003343D77C	435	N_ext	1	65	65
UniRef90_K1XTP2	433	N_ext	1	73	73
UniRef90_A0A0N0RTH9	433	N_ext	1	50	50
UniRef90_A0A0G4EUU4	433	N_ext	1	37	37
UniRef90_A0A080N6C7	433	N_ext	1	70	70
UniRef90_A0A177THP5	432	N_ext	1	33	33
UniRef90_A0A507AZ94	432	N_ext	1	60	60
UniRef90_UPI001FD84FB5	432	N_ext	1	60	60
UniRef90_A0A2X0KLJ2	431	N_ext	1	44	44
UniRef90_G4T5B4	431	N_ext	1	65	65
UniRef90_A0A813ZE00	431	N_ext	1	65	65
UniRef90_A0AA40BX07	430	N_ext	1	58	58
UniRef90_A0A087ECF0	430	N_ext	1	74	74
UniRef90_A0A087BTF7	430	N_ext	1	63	63
UniRef90_UPI00044077F1	430	N_ext	1	38	38
UniRef90_A0ABX0DDS4	428	N_ext	1	49	49
UniRef90_A0A138ZWQ9	427	N_ext	1	63	63
UniRef90_F2BAF5	426	N_ext	1	77	77
UniRef90_UPI003689F542	426	N_ext	1	46	46
UniRef90_UPI0003621A3E	426	N_ext	1	62	62
UniRef90_A0A0L0TC48	425	N_ext	1	49	49
UniRef90_B8DVX4	415	N_ext	1	54	54
UniRef90_UPI0023F8E677	425	N_ext	1	62	62
UniRef90_A0A5C3MS71	424	N_ext	1	39	39
UniRef90_A0A6G8PV92	424	N_ext	1	65	65
