seq_id	seq_len	module	from	to	module_len
UniRef90_A0A4Y9YQ65	446	alpha2beta3_insert	144	165	22
UniRef90_A0ABR1F0J1	436	alpha2beta3_insert	271	282	12
UniRef90_A0A4Y9Z858	429	alpha2beta3_insert	273	283	11
UniRef90_A0A1M2V1W8	403	alpha2beta3_insert	117	121	5
UniRef90_A0A8J6C9D5	946	alpha2beta3_insert	344	602	259
UniRef90_A0A7S3YL75	926	alpha2beta3_insert	156	167	12
UniRef90_A0A7S0DIT9	816	alpha2beta3_insert	433	448	16
UniRef90_A0A8J6C3S6	755	alpha2beta3_insert	360	376	17
UniRef90_A0AB34JE75	741	alpha2beta3_insert	371	380	10
UniRef90_A0AB34J583	688	alpha2beta3_insert	233	321	89
UniRef90_A0A7S3WHH6	605	alpha2beta3_insert	369	377	9
UniRef90_A0A8H7XPN0	485	alpha2beta3_insert	341	365	25
UniRef90_A0A8H5MFN6	453	alpha2beta3_insert	159	163	5
UniRef90_A0A2G8RWQ9	452	alpha2beta3_insert	136	173	38
UniRef90_UPI0028728F68	347	alpha2beta3_insert	207	233	27
UniRef90_F0V8G5	539	alpha2beta3_insert	215	290	76
UniRef90_A0A238FAB8	598	alpha2beta3_insert	199	211	13
UniRef90_A0A8T0HGN2	594	alpha2beta3_insert	436	488	53
UniRef90_A0A427Y7A4	568	alpha2beta3_insert	173	319	147
UniRef90_A0AAJ8M8Y4	563	alpha2beta3_insert	212	298	87
UniRef90_A0A498K0W1	563	alpha2beta3_insert	285	293	9
UniRef90_A0A118K1N3	546	alpha2beta3_insert	362	370	9
UniRef90_A0A1E3I6Y7	558	alpha2beta3_insert	210	294	85
UniRef90_A0A7J8RRH2	553	alpha2beta3_insert	358	384	27
UniRef90_A0A2X0MKU9	549	alpha2beta3_insert	220	295	76
UniRef90_A0A1Y2B9D2	547	alpha2beta3_insert	211	289	79
UniRef90_A0A9P7GI05	547	alpha2beta3_insert	200	291	92
UniRef90_A0A0C3QIU0	546	alpha2beta3_insert	212	231	20
UniRef90_A0A4Q1BUX6	546	alpha2beta3_insert	198	281	84
UniRef90_A0A8H6XEV1	543	alpha2beta3_insert	237	254	18
