target_label	primary_accession	uniref_id	expected_status_from_target_representation	representative_id	alignment_seq_id	present_in_alignment	gap_fraction	gap_or_ambiguity_fraction	label_policy	curation_call	round6_recommendation	reason	notes
PfuDAH7PS	Q8U0A9	UniRef90_Q8U0A9	represented_by_nr80_surrogate	UniRef90_UPI0002AF51CE	UniRef90_UPI0002AF51CE	true	0.4798	0.4798	PfuDAH7PS-like / represents Q8U0A9	keep_for_tree	target or representative is present without Round 6 high-gap burden	acceptable for future tree input if user approves curation handoff	Resolved target artifact id: UniRef90_Q8U0A9; represented by nr80 surrogate. Direct tip is not expected; surrogate UniRef90_UPI0002AF51CE is expected. presence_check direct=false; representative=true round3A_acceptability=acceptable_nr80_surrogate; round3A_curation=accepted_surrogate Direct tip absent as expected; label representative as PfuDAH7PS-like / represents Q8U0A9 if present in core. core_presence direct=false; representative=true Representative remains PfuDAH7PS-like / represents Q8U0A9.
ApeDAH7PS	Q9YEJ7	UniRef90_Q9YEJ7	direct_nr80_tip	UniRef90_Q9YEJ7	UniRef90_Q9YEJ7	true	0.5355	0.5355	label_direct_nr80_tip	manual_review_before_tree	target or representative has gap/ambiguity above 0.50	do not remove automatically; review before tree approval	Resolved target artifact id: UniRef90_Q9YEJ7. Direct nr80 tip UniRef90_Q9YEJ7 is expected. presence_check direct=true; representative=true round3A_acceptability=direct_nr80_tip; round3A_curation=direct_tip_accepted Direct core sequence should be labeled ApeDAH7PS if present. core_presence direct=true; representative=true
TmaDAH7PS	Q9WYH8	UniRef90_Q9WYH8	direct_nr80_tip	UniRef90_Q9WYH8	UniRef90_Q9WYH8	true	0.4626	0.4626	label_direct_nr80_tip	keep_for_tree	target or representative is present without Round 6 high-gap burden	acceptable for future tree input if user approves curation handoff	Resolved target artifact id: UniRef90_Q9WYH8. presence_check direct=true; representative=true core_presence direct=true; representative=true
GspDAH7PS	A0ACD6B8N4		absent_from_input			false			do_not_label_final_tree	hold	not present as an approved tree label in the masked alignment	do not label as a direct final-tree tip	Target identifier not found in staged/formal QC or CD-HIT artifacts.
LmoDAH7PS	Q8Y6T2	UniRef90_Q8Y6T2	direct_nr80_tip	UniRef90_Q8Y6T2	UniRef90_Q8Y6T2	true	0.5509	0.5509	label_direct_nr80_tip	manual_review_before_tree	target or representative has gap/ambiguity above 0.50	do not remove automatically; review before tree approval	Resolved target artifact id: UniRef90_Q8Y6T2. presence_check direct=true; representative=true core_presence direct=true; representative=true
PniDAH7PS	V8CS59	UniRef90_F9DH16	represented_by_nr80_surrogate	UniRef90_A0A379DXQ3	UniRef90_A0A379DXQ3	true	0.5470	0.5470	label_nr80_surrogate_with_target_note	needs_curation	user curation required before accepting Pni surrogate	V8CS59 / UniRef90_F9DH16 remains represented by a surrogate but unresolved	Resolved current Pni candidate as UniRef90_F9DH16; do not merge with legacy A0A0F2JEB6 without separate curation. Current Pni candidate remains represented_by_nr80_surrogate and needs curation. presence_check direct=false; representative=true round3A_acceptability=needs_curation; round3A_curation=needs_curation Pni candidate surrogate remains needs_curation; do not call accepted. core_presence direct=false; representative=true Pni surrogate remains needs_curation.
FtuDAH7PS	Q5NG89	UniRef90_Q5NG89	direct_nr80_tip	UniRef90_Q5NG89	UniRef90_Q5NG89	true	0.3225	0.3225	label_direct_nr80_tip	keep_for_tree	target or representative is present without Round 6 high-gap burden	acceptable for future tree input if user approves curation handoff	Resolved target artifact id: UniRef90_Q5NG89. presence_check direct=true; representative=true core_presence direct=true; representative=true
NmeDAH7PS	Q9K169	UniRef90_Q9K169	represented_by_nr80_surrogate	UniRef90_UPI00056CC34A	UniRef90_UPI00056CC34A	true	0.3397	0.3397	label_nr80_surrogate_with_target_note	keep_for_tree	target or representative is present without Round 6 high-gap burden	acceptable for future tree input if user approves curation handoff	Resolved target artifact id: UniRef90_Q9K169; represented by nr80 surrogate. presence_check direct=false; representative=true target_representation representative_id UniRef90_UPI00056CC resolved to full FASTA ID UniRef90_UPI00056CC34A by unique prefix match. core_presence direct=false; representative=true
SceDAH7PS ARO3	P14843	UniRef90_P14843	represented_by_nr80_surrogate	UniRef90_C5DE97	UniRef90_C5DE97	true	0.3090	0.3090	label_nr80_surrogate_with_target_note	keep_for_tree	target or representative is present without Round 6 high-gap burden	acceptable for future tree input if user approves curation handoff	Resolved target artifact id: UniRef90_P14843; represented by nr80 surrogate. presence_check direct=false; representative=true core_presence direct=false; representative=true
SceDAH7PS ARO4	P32449	UniRef90_P32449	represented_by_nr80_surrogate	UniRef90_G8JPP0	UniRef90_G8JPP0	true	0.3282	0.3282	label_nr80_surrogate_with_target_note	keep_for_tree	target or representative is present without Round 6 high-gap burden	acceptable for future tree input if user approves curation handoff	Resolved target artifact id: UniRef90_P32449; represented by nr80 surrogate. presence_check direct=false; representative=true core_presence direct=false; representative=true
