seq_id	n_ext_len	n_ext_relaxed	n_ext_strict	insert_len	insert_relaxed	insert_strict	act_hmm_relaxed	act_hmm_strict	cm_hmm_relaxed	cm_hmm_strict	c_ext_len	c_ext_relaxed	c_ext_strict	c_residual_relaxed	c_residual_strict	trait_asr_priority
UniRef90_A0A1Q3DYP8	21	1	0	0	0	0	0	0	0	0	12	1	0	1	0	secondary_residual
UniRef90_W2PKA3	80	1	1	0	0	0	0	0	0	0	0	0	0	0	0	primary_orthogonal
UniRef90_A0A0L0V4T6	69	1	1	0	0	0	0	0	0	0	13	1	0	1	0	secondary_residual
UniRef90_A0A2X0LSJ7	24	1	0	0	0	0	0	0	0	0	29	1	1	1	1	secondary_residual
UniRef90_A0A5K8AE01	83	1	1	0	0	0	0	0	0	0	7	0	0	0	0	primary_orthogonal
UniRef90_A0A2N5VDK2	9	0	0	0	0	0	0	0	0	0	2	0	0	0	0	primary_orthogonal
UniRef90_UPI0034CE9D64	4	0	0	2	1	0	0	0	0	0	49	1	1	1	1	secondary_residual
UniRef90_UPI000AC882F6	69	1	1	0	0	0	0	0	0	0	16	1	0	1	0	secondary_residual
UniRef90_K3XA97	86	1	1	0	0	0	0	0	0	0	0	0	0	0	0	primary_orthogonal
UniRef90_A0A087AKZ7	84	1	1	0	0	0	0	0	0	0	1	0	0	0	0	primary_orthogonal
UniRef90_A0A4Y9YQ65	34	1	1	22	1	1	0	0	0	0	8	0	0	0	0	primary_orthogonal
UniRef90_A0ABP1CQN4	73	1	1	0	0	0	0	0	0	0	9	0	0	0	0	primary_orthogonal
UniRef90_T0S8K2	84	1	1	0	0	0	0	0	0	0	0	0	0	0	0	primary_orthogonal
UniRef90_A0A5N6KGA1	82	1	1	0	0	0	0	0	0	0	0	0	0	0	0	primary_orthogonal
UniRef90_A0A2N5SER7	61	1	1	0	0	0	0	0	0	0	1	0	0	0	0	primary_orthogonal
UniRef90_A0A814WGS3	73	1	1	0	0	0	0	0	0	0	0	0	0	0	0	primary_orthogonal
UniRef90_A0A1C7M1W5	48	1	1	0	0	0	0	0	0	0	7	0	0	0	0	primary_orthogonal
UniRef90_A0A6P2C9K3	0	0	0	0	0	0	0	0	0	0	77	1	1	1	1	secondary_residual
UniRef90_M5E3H3	78	1	1	0	0	0	0	0	0	0	2	0	0	0	0	primary_orthogonal
UniRef90_A0A0L0W5Q8	37	1	1	0	0	0	0	0	0	0	30	1	1	1	1	secondary_residual
UniRef90_A0A0L0UYB5	61	1	1	0	0	0	0	0	0	0	3	0	0	0	0	primary_orthogonal
UniRef90_A0ABR1F0J1	3	0	0	12	1	1	0	0	0	0	36	1	1	1	1	secondary_residual
UniRef90_A0A1J8PMW2	53	1	1	0	0	0	0	0	0	0	13	1	0	1	0	secondary_residual
UniRef90_A0A024TN41	77	1	1	0	0	0	0	0	0	0	0	0	0	0	0	primary_orthogonal
UniRef90_A0A7S0HQ19	77	1	1	0	0	0	0	0	0	0	0	0	0	0	0	primary_orthogonal
UniRef90_A0A6J4VJK5	65	1	1	0	0	0	0	0	0	0	5	0	0	0	0	primary_orthogonal
UniRef90_M4RTD6	68	1	1	0	0	0	0	0	0	0	0	0	0	0	0	primary_orthogonal
UniRef90_UPI0034CD14EE	9	0	0	0	0	0	0	0	0	0	34	1	1	1	1	secondary_residual
UniRef90_UPI002362F201	67	1	1	0	0	0	0	0	0	0	6	0	0	0	0	primary_orthogonal
UniRef90_UPI003343D77C	65	1	1	0	0	0	0	0	0	0	4	0	0	0	0	primary_orthogonal
UniRef90_K1XTP2	73	1	1	0	0	0	0	0	0	0	0	0	0	0	0	primary_orthogonal
UniRef90_A0A0N0RTH9	50	1	1	0	0	0	0	0	0	0	9	0	0	0	0	primary_orthogonal
UniRef90_A0A0G4EUU4	37	1	1	0	0	0	0	0	0	0	66	1	1	1	1	secondary_residual
UniRef90_A0A080N6C7	70	1	1	0	0	0	0	0	0	0	0	0	0	0	0	primary_orthogonal
UniRef90_A0A177THP5	33	1	1	0	0	0	0	0	0	0	28	1	1	1	1	secondary_residual
