seq_id	L_seq	cov_hmm	bin
UniRef90_A0ABQ0MAU2	2931	0.9662	PASS_LONG
UniRef90_A0AB34FJU8	2526	0.7352	PASS_LONG
UniRef90_A0ABR0CAI6	2486	0.9634	PASS_LONG
UniRef90_A0A8H4RCI4	2329	0.9887	PASS_LONG
UniRef90_A0ACB7IJZ1	2231	0.8930	PASS_LONG
UniRef90_A0AAV2Z6I7	2214	0.9831	PASS_LONG
UniRef90_A0ABQ0MAK3	2028	0.9662	PASS_LONG
UniRef90_A0A2Z7A0N4	1930	0.9831	PASS_LONG
UniRef90_A0A0D2HJE3	1917	0.9859	PASS_LONG
UniRef90_A0A0G2FU03	1920	0.9859	PASS_LONG
UniRef90_A0AA39CV04	1870	0.8620	PASS_LONG
UniRef90_A0AAN5YN50	1690	0.9887	PASS_LONG
UniRef90_A0A0L1J5F7	1620	0.9859	PASS_LONG
UniRef90_A0A8H6SI48	1619	0.9803	PASS_LONG
UniRef90_UPI00144A5908	1544	0.9859	PASS_LONG
UniRef90_A0A8H7Q790	1484	0.9831	PASS_LONG
UniRef90_A0A0N1I1Z4	1396	0.9859	PASS_LONG
UniRef90_A0A8H6ZIK7	1389	0.8930	PASS_LONG
UniRef90_A0A2K3Q1Y1	1321	0.9859	PASS_LONG
UniRef90_A0A0G2EP81	1317	0.9803	PASS_LONG
UniRef90_A0A6G0WCZ7	1314	0.9915	PASS_LONG
UniRef90_UPI002544F638	1282	0.9887	PASS_LONG
UniRef90_A0A7J6PPI9	1251	0.8507	PASS_LONG
UniRef90_UPI0022FE4CF0	1239	0.9887	PASS_LONG
UniRef90_A0A1S9S1N6	1234	0.9746	PASS_LONG
UniRef90_UPI0025456522	1230	0.9887	PASS_LONG
UniRef90_A0A0F8UW83	1221	0.9211	PASS_LONG
UniRef90_A0A1V6Q3A5	1168	0.9887	PASS_LONG
UniRef90_A0AAF0F3Q7	1214	0.9859	PASS_LONG
UniRef90_UPI0025498552	1209	0.9887	PASS_LONG
UniRef90_A0A1V6RGJ0	1186	0.9887	PASS_LONG
UniRef90_A0A9W9XSK6	1181	0.9887	PASS_LONG
UniRef90_UPI002548734E	1181	0.9662	PASS_LONG
UniRef90_UPI002544F819	1181	0.9887	PASS_LONG
UniRef90_UPI002548F505	1180	0.9887	PASS_LONG
UniRef90_A0A1V6UUP3	1179	0.9887	PASS_LONG
UniRef90_A0A135LZ33	1176	0.9887	PASS_LONG
UniRef90_A0A1S9DV35	1175	0.9606	PASS_LONG
UniRef90_A0A9W9JBZ7	1165	0.9887	PASS_LONG
UniRef90_K9G2S4	1161	0.9887	PASS_LONG
UniRef90_A0ABX8I7S4	1158	0.9915	PASS_LONG
UniRef90_A0A9Q5HUC2	1153	0.9577	PASS_LONG
