seq_id	N_ext	alpha2beta3_insert	ACT_domain	CM_domain	C_tail	boundary_confidence
UniRef90_A0A1Q3DYP8	1	0	0	0	1	medium
UniRef90_W2PKA3	1	0	0	0	0	high
UniRef90_A0A0L0V4T6	1	0	0	0	1	medium
UniRef90_A0A2X0LSJ7	1	0	0	0	1	medium
UniRef90_A0A5K8AE01	1	0	0	0	0	high
UniRef90_A0A2N5VDK2	0	0	0	0	0	high
UniRef90_UPI0034CE9D64	0	1	0	0	1	medium
UniRef90_UPI000AC882F6	1	0	0	0	1	medium
UniRef90_K3XA97	1	0	0	0	0	high
UniRef90_A0A087AKZ7	1	0	0	0	0	high
UniRef90_A0A4Y9YQ65	1	1	0	0	0	high
UniRef90_A0ABP1CQN4	1	0	0	0	0	high
UniRef90_T0S8K2	1	0	0	0	0	high
UniRef90_A0A5N6KGA1	1	0	0	0	0	high
UniRef90_A0A2N5SER7	1	0	0	0	0	high
UniRef90_A0A814WGS3	1	0	0	0	0	high
UniRef90_A0A1C7M1W5	1	0	0	0	0	high
UniRef90_A0A6P2C9K3	0	0	0	0	1	high
UniRef90_M5E3H3	1	0	0	0	0	high
UniRef90_A0A0L0W5Q8	1	0	0	0	1	high
UniRef90_A0A0L0UYB5	1	0	0	0	0	high
UniRef90_A0ABR1F0J1	0	1	0	0	1	high
UniRef90_A0A1J8PMW2	1	0	0	0	1	medium
UniRef90_A0A024TN41	1	0	0	0	0	high
UniRef90_A0A7S0HQ19	1	0	0	0	0	high
UniRef90_A0A6J4VJK5	1	0	0	0	0	high
UniRef90_M4RTD6	1	0	0	0	0	high
UniRef90_UPI0034CD14EE	0	0	0	0	1	high
UniRef90_UPI002362F201	1	0	0	0	0	high
UniRef90_UPI003343D77C	1	0	0	0	0	high
UniRef90_K1XTP2	1	0	0	0	0	high
UniRef90_A0A0N0RTH9	1	0	0	0	0	high
UniRef90_A0A0G4EUU4	1	0	0	0	1	high
UniRef90_A0A080N6C7	1	0	0	0	0	high
UniRef90_A0A177THP5	1	0	0	0	1	high
UniRef90_A0A507AZ94	1	0	0	0	0	high
UniRef90_UPI001FD84FB5	1	0	0	0	1	medium
UniRef90_A0AAE0I6B8	1	0	0	0	1	medium
UniRef90_A0A2X0KLJ2	1	0	0	0	1	high
UniRef90_G4T5B4	1	0	0	0	0	high
UniRef90_A0A813ZE00	1	0	0	0	0	high
UniRef90_A0AA40BX07	1	0	0	0	0	high
UniRef90_A0A087ECF0	1	0	0	0	0	high
UniRef90_A0A087BTF7	1	0	0	0	0	high
UniRef90_A0ABW8N4D1	1	0	0	0	1	medium
UniRef90_UPI00044077F1	1	0	0	0	1	medium
UniRef90_A0A1E3Q375	0	0	0	0	1	high
UniRef90_A0A4Y9Z858	0	1	0	0	1	high
UniRef90_A0A1B7NA63	0	0	0	0	1	high
UniRef90_A0AA41QGQ3	1	0	0	0	1	medium
UniRef90_A0ABX0DDS4	1	0	0	0	0	high
UniRef90_A0A138ZWQ9	1	0	0	0	0	high
UniRef90_A0A0C9YNJ7	1	0	0	0	1	medium
UniRef90_F2BAF5	1	0	0	0	0	high
UniRef90_U5E8U8	0	0	0	0	1	high
UniRef90_UPI003689F542	1	0	0	0	1	high
UniRef90_UPI0003621A3E	1	0	0	0	0	high
UniRef90_A0A0L0TC48	1	0	0	0	0	high
UniRef90_B8DVX4	1	0	0	0	0	high
UniRef90_UPI0023F8E677	1	0	0	0	0	high
UniRef90_A0A5C3MS71	1	0	0	0	1	medium
UniRef90_A0A6G8PV92	1	0	0	0	0	high
UniRef90_A0A5M9ZZV5	1	0	0	0	0	high
UniRef90_A0A0P9ZPN8	1	0	0	0	0	high
UniRef90_A0A0C2XVN7	1	0	0	0	1	medium
UniRef90_A0A4Y9ZD98	1	0	0	0	1	medium
UniRef90_A0A2P7YLJ4	0	0	0	0	1	high
UniRef90_A0A9Q3GH55	1	0	0	0	0	high
UniRef90_A0A087AGB1	1	0	0	0	0	high
UniRef90_A0ABP6PGQ7	1	0	0	0	0	high
UniRef90_A0A433MVR6	0	0	0	0	1	high
UniRef90_UPI001C9731D2	1	0	0	0	0	high
UniRef90_A0A8H5H419	1	0	0	0	1	medium
UniRef90_A0A066WIB7	0	0	0	0	1	high
UniRef90_A0A316V189	0	0	0	0	1	high
UniRef90_A0A4R1BSC7	0	0	0	0	0	high
UniRef90_UPI0024B9BB47	1	0	0	0	0	high
UniRef90_A0A316YQE4	0	0	0	0	1	high
UniRef90_A0A316V5L8	0	0	0	0	1	high
UniRef90_C4JD73	1	0	0	0	0	high
UniRef90_A2S579	1	0	0	0	0	high
UniRef90_A0A8H4UU39	1	0	0	0	0	high
UniRef90_A0A9P7YH90	1	0	0	0	0	high
UniRef90_A0A511KAZ8	0	0	0	0	1	high
UniRef90_A0A0D6R4W0	0	0	0	0	1	high
