relative_path	artifact_role	file_size_bytes	md5	tracked_by_git	ignored_by_git	required_for_next_stage	source_inputs	recreate_command_or_source	notes
results/02_qc_len255/nr80_all_len255.fasta	strategyA_all_subtype_nr80_len255_fasta	5310737	1569f7358def13d48f304f109ef4a60d	false	true	true		python scripts/build_nr80_all_len255.py	Round 3B ignored FASTA input for core extraction.
results/03_msa_core/core_global.hmm	staged_core_global_hmm	243284	6b52655972cb0d9d5cdf00cf90d24aae	false	true	true	/home/luogu/dah7ps_evo/results/03_msa_core/core_global.hmm	cp /home/luogu/dah7ps_evo/results/03_msa_core/core_global.hmm results/03_msa_core/core_global.hmm	Staged HMM only; no old MSA/tree outputs copied.
results/03_core_len255/all_core_only_len255.fasta	strategyA_len255_core_extracted_fasta	3784033	d684e64dc3a791beedc550938b944c78	false	true	true	results/02_qc_len255/nr80_all_len255.fasta;results/03_msa_core/core_global.hmm	conda run -n dah7ps_v4 python scripts/extract_core_domains.py --hmm results/03_msa_core/core_global.hmm --fasta results/02_qc_len255/nr80_all_len255.fasta --params meta/params.json --out_fasta results/03_core_len255/all_core_only_len255.fasta --out_tsv results/03_core_len255/core_extraction_len255.tsv --ievalue 1e-5 --hmm_span_min 30 --merge_gap 5 --cpu 20	Ignored FASTA for Round 5 MSA input.
results/03_core_len255/core_extraction_len255.tsv	strategyA_len255_core_extraction_table	702514	dca5970ac57b1e9c7654bb4ac7ec9471	true	false	true	results/02_qc_len255/nr80_all_len255.fasta;results/03_msa_core/core_global.hmm	conda run -n dah7ps_v4 python scripts/extract_core_domains.py --hmm results/03_msa_core/core_global.hmm --fasta results/02_qc_len255/nr80_all_len255.fasta --params meta/params.json --out_fasta results/03_core_len255/all_core_only_len255.fasta --out_tsv results/03_core_len255/core_extraction_len255.tsv --ievalue 1e-5 --hmm_span_min 30 --merge_gap 5 --cpu 20	Versioned core extraction coordinate table.
results/03_core_len255/core_extraction_len255_domtblout.txt	strategyA_len255_core_extraction_domtblout	3347146	4f20e60bac128706ab9c738df67460c0	true	false	false	results/02_qc_len255/nr80_all_len255.fasta;results/03_msa_core/core_global.hmm	conda run -n dah7ps_v4 python scripts/extract_core_domains.py --hmm results/03_msa_core/core_global.hmm --fasta results/02_qc_len255/nr80_all_len255.fasta --params meta/params.json --out_fasta results/03_core_len255/all_core_only_len255.fasta --out_tsv results/03_core_len255/core_extraction_len255.tsv --ievalue 1e-5 --hmm_span_min 30 --merge_gap 5 --cpu 20	HMMER domtblout intermediate from core extraction.
results/03_core_len255/core_extraction_len255.log	strategyA_len255_core_extraction_log	934	9fa7fd1823648720b9d25bac2da4a088	false	true	false	results/02_qc_len255/nr80_all_len255.fasta;results/03_msa_core/core_global.hmm	conda run -n dah7ps_v4 python scripts/extract_core_domains.py --hmm results/03_msa_core/core_global.hmm --fasta results/02_qc_len255/nr80_all_len255.fasta --params meta/params.json --out_fasta results/03_core_len255/all_core_only_len255.fasta --out_tsv results/03_core_len255/core_extraction_len255.tsv --ievalue 1e-5 --hmm_span_min 30 --merge_gap 5 --cpu 20	Ignored command log from core extraction.
results/03_core_len255/core_extraction_len255_summary.tsv	strategyA_len255_core_extraction_summary	761	b525c74951a05d7d8ffd18317abaaeb2	true	false	true	results/02_qc_len255/nr80_all_len255.fasta;results/03_msa_core/core_global.hmm;results/03_core_len255/all_core_only_len255.fasta	python scripts/round4_core_len255_handoff.py	Normalized Round 4 extraction summary.
results/03_core_len255/core_len255_subtype_carrythrough.tsv	strategyA_len255_core_subtype_carrythrough	182	80151607cb454df6480717adfd817caf	true	false	true	results/02_qc_len255/nr80_all_len255_subtype_map.tsv;results/03_core_len255/all_core_only_len255.fasta	python scripts/round4_core_len255_handoff.py	Subtype carry-through after core extraction.
results/03_core_len255/core_len255_target_carrythrough.tsv	strategyA_len255_core_target_carrythrough	7125	44e31ae9feb7ce3cfd5c126b981aeb40	true	false	true	results/02_qc_len255/target_representation.tsv;results/02_qc_len255/nr80_all_len255_target_presence.tsv;results/03_core_len255/all_core_only_len255.fasta	python scripts/round4_core_len255_handoff.py	Target carry-through after core extraction.
results/03_core_len255/core_len255_flagged_carrythrough.tsv	strategyA_len255_core_flagged_carrythrough	2230	6eff417559b847d458d46a6af7fdf8a0	true	false	true	results/02_qc_len255/nr80_all_len255_flagged_presence.tsv;results/02_qc_len255/len255_flagged_rescue_adjudication.tsv;results/03_core_len255/all_core_only_len255.fasta	python scripts/round4_core_len255_handoff.py	Flagged len255 rescue carry-through after core extraction.
results/03_core_len255/round4_msa_handoff.md	strategyA_round4_msa_handoff_plan	2569	7b60e5512ed78e23bf6d2a6cc53872b6	true	false	true	repo scripts/docs inspection;Round 4 core carry-through tables	python scripts/round4_core_len255_handoff.py	Round 5 MSA handoff; no MSA run.
